World rank,Company,Country,Region,Industry,R&D 2017/18 (€mn),R&D one-year growth (%),Net sales (€mn),Net sales one-year growth (%),R&D intensity (%),Capex (€mn),Capex one-year growth (%),Capex intensity (%),Op.profits (€mn),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€mn),Market cap one-year growth (%)
34,GENERAL ELECTRIC,US,US,General Industrials,4004.8,0.4,100448.6,0.7,4.0,6146.1,2.4,6.1,-2828.3,-134.8,-2.8,313000,6.1,177230.6,-24.1
35,DELL TECHNOLOGIES,US,US,Technology Hardware & Equipment,3963.1,67.2,65588.3,27.6,6.0,1139.8,95.6,1.7,-2684.9,13.7,-4.1,145000,5.1,12691.8,57.6
36,PANASONIC,Japan,Japan,Leisure Goods,3706.2,5.8,58952.1,8.7,6.3,2913.5,41.6,4.9,2963.1,16.8,5.0,274143,6.4,26550.4,38.1
37,NISSAN MOTOR,Japan,Japan,Automobiles & Parts,3661.9,1.1,88265.0,2.0,4.1,2945.3,-20.8,3.3,4125.5,-24.2,4.7,138910,1.2,34071.0,3.5
38,ELI LILLY,US,US,Pharmaceuticals & Biotechnology,3470.3,-5.6,19070.5,7.8,18.2,897.9,3.8,4.7,2370.0,-20.7,12.4,40655,-3.1,74626.4,4.3
39,SONY,Japan,Japan,Leisure Goods,3386.4,2.5,63101.4,12.4,5.4,1942.3,-21.1,3.1,5427.3,157.7,8.6,117300,-8.6,40499.4,30.6
40,SAP,Germany,EU,Software & Computer Services,3332.0,9.7,23461.0,6.3,14.2,1275.0,27.4,5.4,4878.0,-5.0,20.8,88543,5.2,108597.3,12.0
41,CELGENE,US,US,Pharmaceuticals & Biotechnology,3310.3,-11.2,10842.2,15.8,30.5,232.6,18.1,2.1,3016.8,28.7,27.8,7467,4.7,90629.5,31.4
42,DENSO,Japan,Japan,Automobiles & Parts,3304.1,9.3,37727.1,12.8,8.8,2569.9,3.9,6.8,2998.2,24.4,7.9,168813,9.3,31293.4,24.9
43,ERICSSON,Sweden,EU,Technology Hardware & Equipment,3260.7,2.0,20449.6,-9.6,15.9,393.8,-36.7,1.9,-3870.3,-708.4,-18.9,100735,-9.6,14535.1,-23.6
44,CONTINENTAL,Germany,EU,Automobiles & Parts,3195.8,9.5,44009.5,8.5,7.3,2849.7,9.9,6.5,4382.1,9.0,10.0,235473,7.0,37926.1,0.9
45,BOEHRINGER,Germany,EU,Pharmaceuticals & Biotechnology,3078.0,-1.1,18056.0,13.9,17.0,872.0,35.2,4.8,3487.0,21.4,19.3,49610,10.3,,
46,AIRBUS,Netherlands,EU,Aerospace & Defence,3026.0,-7.8,66767.0,0.3,4.5,2339.0,-16.6,3.5,3339.0,49.3,5.0,126821,-5.2,54685.1,35.3
47,AMGEN,US,US,Pharmaceuticals & Biotechnology,2970.1,-6.5,19052.0,-0.6,15.6,553.7,-10.0,2.9,8621.7,4.5,45.3,20800,8.3,108158.4,1.9
48,RENAULT,France,EU,Automobiles & Parts,2958.0,10.0,58770.0,14.7,5.0,2291.0,12.4,3.9,3710.0,13.7,6.3,181344,45.3,21987.0,1.4
49,GILEAD SCIENCES,US,US,Pharmaceuticals & Biotechnology,2928.4,-17.7,21768.5,-14.1,13.5,492.0,-21.1,2.3,12002.0,-22.0,55.1,10000,11.1,91152.4,5.7
50,PEUGEOT,France,EU,Automobiles & Parts,2927.0,23.7,65210.0,20.7,4.5,1769.0,-16.0,2.7,3066.0,15.6,4.7,182157,7.1,16047.1,50.1
51,ALIBABA,China,China,Software & Computer Services,2913.7,33.4,32046.9,58.1,9.1,3820.5,70.0,11.9,8875.8,44.2,27.7,66421,32.6,366592.6,80.9
52,BROADCOM,US,US,Technology Hardware & Equipment,2744.9,23.1,14705.2,33.2,18.7,891.4,47.9,6.1,2238.8,316.9,15.2,14000,-10.8,85749.5,46.7
53,LG ELECTRONICS,South Korea,RoW,Leisure Goods,2636.9,-2.4,47822.0,10.9,5.5,2507.5,30.0,5.2,1922.8,84.5,4.0,37953,-0.7,10388.5,58.3
54,TATA MOTORS,India,RoW,Automobiles & Parts,2487.8,74.2,37642.3,8.6,6.6,2591.1,22.0,6.9,1385.7,-34.1,3.7,81090,1.9,14182.6,-29.9
