,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
2079,NIPPON SIGNAL,Japan,Electronic & Electrical Equipment,21.5,32.2,10.8,3.4,641.9,9.2,3.8,6.1,21.4,-9.5,1.0,40.9,16.9,7.3,6.4,2819,-1.4,-2.1
2080,WIX.COM,Israel,Software & Computer Services,21.5,76.7,59.5,36.9,58.4,84.2,   ,2.2,224.2,   ,3.8,-19.2,76.2,   ,-33.0,548,43.1,   
2081,PRICEWATERHOUSECOOPERS,UK,Support Services,21.5,260.0,44.2,0.7,3211.0,2.6,4.9,,   ,   ,0.0,913.5,4.5,4.0,28.4,17420,-1.1,1.8
2082,ARCADYAN TECHNOLOGY,Taiwan,Technology Hardware & Equipment,21.5,16.5,15.7,5.2,410.7,13.2,1.7,8.0,36.2,-33.3,2.0,18.3,53.0,-15.7,4.5,,-100.0,-100.0
2083,NOVA MEASURING INSTRUMENTS,Israel,Electronic & Electrical Equipment,21.4,20.3,33.5,26.5,80.9,16.0,8.8,3.0,12.5,38.1,3.7,8.9,16.5,-17.4,11.1,383,4.4,11.1
2084,ITAUTEC,Brazil,Technology Hardware & Equipment,21.4,0.4,-2.8,15.8,135.3,-71.6,-34.6,8.0,58.5,-2.2,5.9,-68.2,3226.4,  ,-50.4,,-100.0,-100.0
2085,ASIA OPTICAL,Taiwan,Leisure Goods,21.4,-8.5,-11.5,4.9,433.4,-13.1,-10.0,25.7,40.9,-5.2,5.9,8.9,-400.9,  ,2.1,,-100.0,-100.0
2086,SAPPI,South Africa,Forestry & Paper,21.4,22.9,5.7,0.5,4296.3,-6.6,-3.4,,   ,-100.0,0.0,23.2,-91.1,-46.7,0.5,13665,-2.7,-4.3
2087,NICHICON,Japan,Electronic & Electrical Equipment,21.4,-10.3,-0.7,3.0,720.9,15.3,-0.4,12.0,-82.2,-27.0,1.7,18.8,-123.2,-18.6,2.6,5792,-3.9,-11.0
2088,TOA,Japan,Technology Hardware & Equipment,21.4,0.8,4.7,7.3,292.1,14.6,8.3,2.9,-64.2,9.1,1.0,29.3,17.6,17.6,10.0,3030,1.9,1.9
2089,CATERHAM SPORTS,UK,Support Services,21.3,93.7,   ,38.1,55.9,117.9,   ,,   ,   ,0.0,6.0,169.6,   ,10.8,276,9.1,   
2090,PIXART IMAGING,Taiwan,Electronic & Electrical Equipment,21.3,51.4,18.2,19.1,111.7,31.9,0.8,0.3,-73.2,-22.9,0.3,6.8,-25.4,-31.5,6.1,,-100.0,-100.0
2091,ANACOR PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,21.3,-29.5,143.1,170.3,12.5,60.4,-14.8,0.3,2.3,61.4,2.6,-36.2,-6.0,74.0,-290.1,79,-7.1,   
2092,FORCE INDIA FORMULA ONE TEAM,UK,Automobiles & Parts,21.3,7.6,-2.6,38.1,55.8,0.2,14.1,,   ,   ,0.0,-43.9,5.4,-2.3,-78.8,323,1.9,4.3
2093,CARLISLE COMPANIES,US,General Industrials,21.2,-11.2,8.1,1.0,2134.0,3.2,5.2,80.3,-21.1,19.7,3.8,267.7,-2.4,23.2,12.5,8000,-31.0,-10.1
2094,KAGOME,Japan,Food Producers,21.2,2.5,6.3,1.6,1329.1,-1.6,2.1,60.4,0.2,59.5,4.5,45.6,-28.0,-6.0,3.4,2349,6.3,4.7
2095,ZHEJIANG XINAN CHEMICAL INDUSTRIAL,China,Chemicals,21.2,126.9,48.6,2.7,780.6,11.3,16.7,58.6,-20.7,-6.5,7.5,72.4,331.4,81.0,9.3,5685,-1.1,45.5
2096,GENERAC,US,Electronic & Electrical Equipment,21.2,24.6,25.8,2.0,1077.3,26.3,35.8,22.3,37.4,47.3,2.1,254.9,57.2,57.3,23.7,3380,10.9,32.8
2097,ELONG,Cayman Islands,Travel & Leisure,21.2,39.8,30.6,17.6,120.0,35.7,28.0,5.6,-10.8,   ,4.7,-21.2,169.4,  ,-17.6,3487,22.6,23.3
2098,CORNERSTONE ONDEMAND,US,Software & Computer Services,21.1,41.6,57.2,15.8,134.2,57.0,61.8,11.4,119.0,75.5,8.5,-24.6,7.0,38.3,-18.4,987,31.6,44.5
2099,NACHI FUJIKOSHI,Japan,Industrial Engineering,21.1,0.0,5.3,1.7,1209.9,2.0,9.2,73.1,-5.9,17.7,6.0,85.0,16.5,14.6,7.0,6072,3.9,3.4
2100,BRF,Brazil,Food Producers,21.1,107.5,49.1,0.2,9402.4,7.0,10.4,390.7,-32.7,   ,4.2,599.6,42.4,9.6,6.4,86348,   ,-8.6
2101,WASION GROUP HOLDINGS,Cayman Islands,Electronic & Electrical Equipment,21.1,9.4,26.2,7.4,286.6,-1.6,21.9,3.6,-83.2,-39.8,1.2,49.0,15.6,29.0,17.1,3867,12.3,8.8
2102,CK LIFE SCIENCES,Cayman Islands,Pharmaceuticals & Biotechnology,21.1,39.2,74.1,4.5,464.9,9.4,22.7,13.1,25.4,32.1,2.8,36.8,-23.7,  ,7.9,1619,26.7,11.5
2103,IMMUCOR,US,Health Care Equipment & Services,21.1,36.4,22.3,8.4,252.2,3.3,1.9,,   ,   ,0.0,28.5,26.5,-32.0,11.3,1050,28.2,11.4
2104,RAPTOR PHARMACEUTICAL,US,Pharmaceuticals & Biotechnology,21.0,225.2,25.6,171.8,12.2,   ,   ,1.2,2814.6,218.9,9.5,-37.6,189.4,35.3,-307.6,70,66.7,71.0
2105,AGIOS PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,21.0,81.7,   ,113.3,18.5,1.8,   ,0.9,-12.3,   ,5.1,-28.2,69.1,   ,-152.2,96,   ,   
2106,SUNESIS PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,20.9,-1.0,26.1,363.1,5.8,111.9,521.9,,   ,-100.0,0.0,-23.0,-8.2,14.1,-399.4,32,28.0,5.8
2107,ARIMA COMMUNICATIONS,Taiwan,Technology Hardware & Equipment,20.9,6.5,7.9,2.8,741.3,44.4,16.4,4.5,-54.1,-14.1,0.6,10.0,-225.6,31.4,1.4,,-100.0,-100.0
2108,IPEK DOGAL ENERJI KAYNAKLARI ARASTIRMA VE URETIM,Turkey,Support Services,20.9,1.6,60.9,5.7,369.9,-7.9,26.1,135.0,85.2,22.4,36.5,112.6,-41.1,1.2,30.4,2579,16.1,14.1
2109,LS INDUSTRIAL SYSTEMS,South Korea,Electronic & Electrical Equipment,20.9,-1.3,-21.4,1.3,1615.9,5.4,8.2,59.6,-35.6,-14.2,3.7,120.2,13.5,5.7,7.4,,   ,   
2110,GCL POLY ENERGY,Cayman Islands,Electricity,20.9,14.4,163.7,0.9,2387.6,14.2,11.4,323.0,-9.8,-23.3,13.5,141.1,-315.0,-37.6,5.9,13516,-3.3,3.0
2111,CHINA ALUMINUM INTERNATIONAL ENGINEERING,China,Construction & Materials,20.8,6.9,38.5,1.0,2156.0,10.2,17.3,47.0,33.8,66.6,2.2,82.0,-54.3,-10.8,3.8,10444,-1.4,   
2112,TEOLLISUUDEN VOIMA,Finland,Electricity,20.8,-13.7,-1.3,5.7,365.9,3.9,0.3,,   ,   ,0.0,62.9,64.9,-26.4,17.2,894,1.1,2.0
2113,ENGHOUSE SYSTEMS,Canada,Software & Computer Services,20.8,41.7,34.7,16.9,122.6,31.9,24.1,1.0,-38.9,16.5,0.8,18.2,19.3,28.3,14.9,,   ,   
2114,ACINO HOLDING,Switzerland,Pharmaceuticals & Biotechnology,20.7,5.8,14.5,7.9,262.4,2.1,27.2,9.8,-35.8,-15.7,3.7,-14.7,-263.4,17.6,-5.6,,-100.0,-100.0
2115,OKUMA,Japan,Industrial Engineering,20.7,41.2,22.8,2.2,925.2,0.4,10.0,73.5,152.5,137.1,7.9,64.3,-13.6,83.0,7.0,3207,1.5,3.3
2116,HOGANAS,Sweden,Industrial Metals & Mining,20.7,25.3,10.0,2.9,715.4,-5.6,-1.7,,   ,   ,0.0,108.3,6.2,-4.9,15.1,1722,1.0,2.1
2117,JABIL CIRCUIT,US,Electronic & Electrical Equipment,20.6,10.2,0.5,0.2,13296.3,6.9,11.0,534.3,48.1,22.7,4.0,454.1,0.7,23.1,3.4,177000,25.5,36.9
2118,SYNACOR,US,Software & Computer Services,20.6,11.2,15.4,25.5,81.1,-8.3,19.1,4.3,38.7,56.0,5.3,-0.5,-112.1,-40.3,-0.6,343,8.9,   
2119,RESVERLOGIX,Canada,Pharmaceuticals & Biotechnology,20.6,46.9,21.9,176.0,11.7,4195.2,-11.2,0.3,78.6,51.3,2.9,1.5,-106.1,14.0,13.1,,   ,   
2120,EMIS,UK,Software & Computer Services,20.6,19.4,24.5,16.3,126.0,22.2,19.2,10.0,-32.7,14.4,8.0,29.8,3.5,15.1,23.6,1356,21.5,18.1
2121,TIANJIN ZHONGHUAN SEMICONDUCTOR,China,Technology Hardware & Equipment,20.6,140.4,36.3,4.7,434.1,46.4,42.1,168.8,20.0,16.9,38.9,21.4,193.0,-4.1,4.9,3668,13.6,22.0
2122,ABIOMED,US,Health Care Equipment & Services,20.6,12.8,5.1,15.4,133.2,16.1,22.0,2.0,-2.6,15.2,1.5,6.1,-49.4,  ,4.6,511,9.4,11.0
2123,DAIHEN,Japan,General Industrials,20.6,7.1,5.6,2.7,752.0,19.5,5.8,13.9,-44.3,-0.6,1.8,43.7,112.6,13.7,5.8,3922,271.1,1.4
2124,CREATIVE TECHNOLOGY,Singapore,Technology Hardware & Equipment,20.6,-28.5,-21.6,17.1,119.9,-13.8,-15.6,0.9,-76.6,-41.9,0.7,-12.1,-75.9,-23.1,-10.1,,   ,   
2125,LENZING,Austria,Chemicals,20.5,70.6,-1.1,1.1,1908.9,-8.7,2.6,246.0,-23.0,-4.8,12.9,94.3,-59.8,-25.6,4.9,6675,-5.1,2.8
2126,LI NING,Cayman Islands,Personal Goods,20.5,-9.6,-11.0,3.0,692.0,-13.6,-15.0,,   ,   ,0.0,-20.1,-89.4,  ,-2.9,3592,4.2,-5.2
2127,IDB,Israel,Support Services,20.5,-64.2,-35.1,490.4,4.2,-99.9,   ,,   ,   ,0.0,0.3,-99.9,   ,7.9,,   ,   
2128,AUDIOCODES,Israel,Technology Hardware & Equipment,20.4,-1.7,-2.3,20.5,99.5,7.6,-2.9,1.2,-20.9,0.4,1.2,2.0,-173.3,-36.0,2.0,617,6.6,0.3
2129,PSI,Germany,Software & Computer Services,20.4,12.5,8.5,11.6,176.3,-2.5,3.6,2.5,-5.1,-27.7,1.4,4.2,-67.6,-24.0,2.4,1692,6.3,6.0
2130,ALBANY,US,Forestry & Paper,20.4,6.6,2.6,3.7,549.2,-0.5,0.6,46.7,73.2,26.8,8.5,56.0,-308.2,4.1,10.2,4100,2.5,-6.4
2131,SEOUL VIOSYS,South Korea,Electronic & Electrical Equipment,20.4,20.2,34.9,11.4,179.0,3.9,2.8,,   ,   ,0.0,16.6,59.5,79.4,9.3,695,8.1,-6.6
2132,CATCHER TECHNOLOGY,Taiwan,Technology Hardware & Equipment,20.4,-10.2,6.3,1.9,1043.8,16.8,25.6,232.4,14.7,22.6,22.3,353.7,16.8,37.9,33.9,,-100.0,-100.0
2133,KARYOPHARM THERAPEUTICS,US,Pharmaceuticals & Biotechnology,20.4,108.5,   ,7251.9,0.3,-39.0,   ,0.0,-52.9,   ,14.7,-24.6,113.7,   ,-8772.6,31,   ,   
2134,BERRY PLASTICS,US,General Industrials,20.3,12.0,10.1,0.6,3369.6,-2.5,3.0,173.3,3.9,2.3,5.1,290.0,12.4,34.3,8.6,15000,0.0,   
2135,NEUSTAR,US,Software & Computer Services,20.3,-6.0,26.6,3.1,654.1,8.5,20.1,38.6,0.3,11.8,5.9,209.8,4.4,11.1,32.1,,-100.0,-100.0
2136,BIOCRYST PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,20.3,-1.8,8.6,161.3,12.6,-34.1,-34.7,0.0,-73.5,-54.8,0.2,-22.3,-4.4,-2.7,-177.2,40,0.0,-19.3
2137,RIKEN VITAMIN,Japan,Food Producers,20.3,4.8,1.5,3.4,588.2,10.1,3.1,37.6,0.6,25.4,6.4,34.6,41.6,-2.1,5.9,3121,1.3,0.0
2138,SBI HOLDINGS,Japan,Financial Services,20.3,12.3,75.8,9.1,223.9,312.7,61.5,,   ,   ,0.0,96.6,-27.2,43.3,43.1,172,-21.8,-11.0
2139,DAEWOONG,South Korea,Pharmaceuticals & Biotechnology,20.2,6.2,66.0,3.5,579.4,2.5,7.9,17.8,-35.9,-29.8,3.1,66.8,33.5,2.5,11.5,,   ,   
2140,ANTA SPORTS PRODUCTS,Cayman Islands,Leisure Goods,20.2,-4.6,8.0,2.3,865.2,-4.5,-0.6,11.1,-36.3,1.6,1.3,186.4,0.4,-3.4,21.5,,   ,-100.0
2141,GILAT SATELLITE NETWORKS,Israel,Technology Hardware & Equipment,20.2,-4.6,13.8,11.9,170.3,-32.6,0.3,2.9,-12.5,-19.0,1.7,-3.0,-83.7,-12.8,-1.7,981,-22.6,-8.5
2142,TRANSMODE,Sweden,Technology Hardware & Equipment,20.2,15.6,18.5,17.4,116.2,1.8,13.7,1.2,7.1,43.8,1.0,17.2,-10.5,12.2,14.8,284,11.4,16.2
2143,TIANMA MICROELECTRONICS,China,Electronic & Electrical Equipment,20.2,   ,34.6,3.9,521.7,3.8,9.9,20.2,-60.4,-47.2,3.9,31.4,78.3,9.6,6.0,7479,4.1,0.0
2144,REVANCE THERAPEUTICS,US,Pharmaceuticals & Biotechnology,20.2,-14.9,   ,4510.7,0.4,-13.9,   ,4.7,1930.4,   ,1049.8,-27.7,-11.5,   ,-6195.3,62,   ,   
2145,N BROWN,UK,General Retailers,20.2,-5.6,4.3,2.0,997.0,6.4,3.5,4.7,-45.1,-11.9,0.5,124.4,5.7,1.7,12.5,3432,5.5,1.6
2146,ULTRAGENYX PHARMACEUTICAL,US,Pharmaceuticals & Biotechnology,20.2,120.1,   ,   ,,   ,   ,0.3,-62.7,   ,   ,-23.4,101.9,   ,   ,59,   ,   
2147,DAETWYLER,Switzerland,Electronic & Electrical Equipment,20.2,-1.2,   ,1.8,1124.1,-2.3,1.6,39.5,-35.2,13.8,3.5,97.4,1.9,-2.2,8.7,7047,2.0,12.7
2148,JOYOUNG,China,Household Goods & Home Construction,20.2,29.3,16.3,3.2,628.1,7.9,-0.2,27.8,16.9,-13.6,4.4,77.1,5.8,-5.8,12.3,3705,4.2,1.0
2149,UNIVERSAL ENTERTAINMENT,Japan,Industrial Engineering,20.2,10.4,-1.1,3.4,592.1,-12.5,25.4,,   ,   ,0.0,173.9,-29.5,66.6,29.4,838,5.5,4.0
2150,MITSUBISHI PENCIL,Japan,Household Goods & Home Construction,20.2,8.3,1.6,5.2,384.9,10.5,2.4,8.3,4.9,12.7,2.2,57.7,37.5,11.5,15.0,2696,-0.5,-0.9
2151,INFICON,Switzerland,Technology Hardware & Equipment,20.1,4.1,6.2,9.5,212.4,-1.4,3.3,8.9,85.4,50.7,4.2,33.5,-7.8,5.6,15.8,942,0.2,3.8
2152,GUIDANCE SOFTWARE,US,Software & Computer Services,20.1,13.4,17.7,25.1,80.1,-14.6,6.3,9.6,229.0,78.7,12.0,-15.4,1092.3,70.1,-19.3,495,4.2,10.1
2153,PEREGRINE PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,20.1,15.7,4.2,123.8,16.2,3.3,18.4,0.5,-11.5,-6.1,3.4,-25.9,25.9,1.0,-159.4,184,-1.6,5.7
2154,SITRONIX TECHNOLOGY,Taiwan,Technology Hardware & Equipment,20.1,4.4,4.7,13.1,153.0,22.4,5.9,3.7,247.9,-29.0,2.4,11.1,31.6,-1.4,7.2,,-100.0,-100.0
2155,CAF,Spain,Industrial Engineering,20.0,-7.4,-21.0,1.3,1535.2,-10.8,-0.9,49.5,-11.9,-8.6,3.2,137.0,-48.2,-4.1,8.9,7632,9.4,3.2
2156,KATAKURA INDUSTRIES,Japan,Personal Goods,20.0,-5.3,-12.1,6.1,329.7,1.4,-1.1,32.5,71.0,3.3,9.9,10.1,-9.3,16.0,3.0,1417,-0.8,-0.7
2157,STRABAG,Austria,Construction & Materials,20.0,17.6,12.6,0.2,12475.7,-3.9,0.3,387.4,-15.5,-11.2,3.1,223.5,22.8,-6.5,1.8,73100,-1.2,-0.2
2158,INDESIT,Italy,Household Goods & Home Construction,20.0,-15.6,17.6,0.7,2671.1,-7.4,-2.5,82.7,-32.2,17.1,3.1,68.1,-48.6,-28.2,2.5,15790,-3.3,-0.6
2159,COMET,Switzerland,Electronic & Electrical Equipment,20.0,-4.5,9.4,9.8,203.0,16.4,4.7,4.0,-5.8,9.7,2.0,20.4,96.7,15.4,10.0,911,18.3,8.1
2160,IMPERVA,US,Software & Computer Services,20.0,34.1,27.8,20.0,99.9,32.2,35.5,1.9,-21.9,-3.4,1.9,-18.4,258.0,27.3,-18.5,580,22.4,   
2161,BIOSENSORS,Bermuda,Health Care Equipment & Services,20.0,0.2,18.2,8.5,234.8,-3.7,27.4,16.9,198.1,100.5,7.2,42.0,-50.2,1.9,17.9,,   ,   
2162,GLOBAL UNICHIP,Taiwan,Technology Hardware & Equipment,20.0,-4.9,-4.7,13.4,149.1,-31.5,-15.6,1.1,-41.9,-12.3,0.8,7.8,-54.6,-19.1,5.2,,-100.0,-100.0
2163,FUEL SYSTEMS SOLUTIONS,US,Industrial Engineering,20.0,-2.8,9.9,6.9,289.9,1.5,-2.4,6.9,-30.6,-30.3,2.4,3.2,-133.2,-57.7,1.1,700,-58.8,-24.1
2164,VEEVA SYSTEMS,US,Software & Computer Services,20.0,80.6,96.3,13.1,152.4,62.2,93.2,2.2,91.6,72.3,1.4,28.5,30.9,97.6,18.7,,   ,   
2165,ANGIODYNAMICS,US,Health Care Equipment & Services,19.9,4.5,8.8,7.8,257.0,3.6,18.0,9.6,2.2,48.4,3.7,17.6,15.9,8.1,6.8,1300,-2.3,21.7
2166,CHEMOCENTRYX,US,Pharmaceuticals & Biotechnology,19.9,-5.7,   ,453.5,4.4,11.8,-44.2,0.4,17.4,-22.6,9.1,-28.4,-1.3,87.2,-645.5,60,-1.6,   
2167,CHINA ELECTRONICS,Bermuda,Electronic & Electrical Equipment,19.9,30.4,32.6,16.3,122.3,13.2,31.6,1.9,-1.5,16.9,1.6,28.8,34.4,62.9,23.5,365,10.6,9.2
2168,CSPC PHARMACEUTICAL,Hong Kong,Pharmaceuticals & Biotechnology,19.9,172.5,28.9,2.1,930.4,139.9,8.6,55.8,208.1,-7.2,6.0,109.2,-50.4,2.3,11.7,10390,-20.2,-0.9
2169,COLFAX,US,Industrial Engineering,19.9,41.2,64.1,0.7,3050.7,7.5,98.0,51.8,-14.1,78.7,1.7,322.8,73.5,89.2,10.6,,-100.0,-100.0
2170,FUJIMI,Japan,Chemicals,19.9,9.4,11.0,10.5,189.3,-15.2,-3.8,11.0,-32.6,46.5,5.8,7.2,-70.0,-27.7,3.8,775,-1.0,1.5
2171,MICROELECTRONICS TECHNOLOGY,Taiwan,Technology Hardware & Equipment,19.9,-8.1,0.7,12.1,164.3,-10.0,-5.7,2.0,7.8,-30.8,1.2,-17.8,-23.7,89.5,-10.8,,-100.0,-100.0
2172,MITAC HOLDINGS,Taiwan,Technology Hardware & Equipment,19.8,-68.9,-33.3,6.9,287.2,   ,   ,3.7,   ,   ,1.3,7.8,   ,   ,2.7,,   ,   
2173,MARCHEX,US,Software & Computer Services,19.8,16.9,17.6,17.9,110.6,14.9,16.1,2.3,6.5,-3.5,2.1,2.6,-122.0,  ,2.4,405,22.4,3.6
2174,DIALOGIC,US,Software & Computer Services,19.8,-36.2,-15.9,20.7,95.8,-17.5,-9.6,0.6,-31.3,-31.6,0.6,-29.5,72.7,25.4,-30.8,539,-21.2,-16.8
2175,PALFINGER,Austria,Industrial Engineering,19.8,17.8,8.7,2.0,980.7,4.9,14.6,38.5,-4.6,26.7,3.9,76.2,24.9,30.1,7.8,6874,9.6,10.9
2176,LINDENGRUPPEN,Sweden,General Industrials,19.8,0.6,-5.7,2.8,701.1,-0.3,-6.4,,   ,   ,0.0,143.0,172.5,-6.4,20.4,3107,-3.3,-5.6
2177,QINGDAO HANHE CABLE,China,General Industrials,19.7,44.8,   ,3.5,558.3,27.6,15.2,6.8,0.2,-19.5,1.2,42.8,56.5,-4.1,7.7,2216,26.8,12.9
2178,ADLINK TECHNOLOGY,Taiwan,Technology Hardware & Equipment,19.7,9.4,26.6,12.6,156.4,15.8,12.2,1.5,-36.8,-48.7,0.9,12.8,63.4,-10.3,8.2,,-100.0,-100.0
2179,AIR WATER,Japan,General Industrials,19.7,-3.5,-4.3,0.4,4415.8,18.7,10.8,253.1,48.7,6.5,5.7,235.7,39.9,3.7,5.3,9557,6.9,5.1
2180,WACOM,Japan,Technology Hardware & Equipment,19.7,20.2,30.4,3.6,541.4,28.7,33.5,13.2,97.9,67.1,2.4,59.7,9.5,38.2,11.0,1035,11.3,11.5
2181,SFA ENGINEERING,South Korea,Industrial Engineering,19.6,-22.9,   ,6.0,328.8,-5.7,3.5,8.1,-20.2,8.0,2.5,44.4,-7.8,19.8,13.5,,   ,   
2182,CHICAGO BRIDGE & IRON,The Netherlands,Industrial Engineering,19.6,-1.9,13.3,0.2,8044.8,102.3,45.0,,   ,-100.0,0.0,376.2,22.5,19.6,4.7,55900,108.6,64.3
2183,EXAR,US,Technology Hardware & Equipment,19.6,20.9,-19.1,21.6,90.9,2.7,-5.0,1.9,91.9,-10.1,2.1,0.6,-19.5,  ,0.7,312,7.2,-13.2
2184,ZHEJIANG SANHUA,China,Industrial Engineering,19.6,14.7,18.5,3.4,584.3,47.7,18.4,59.7,-22.0,   ,10.2,58.8,34.8,2.6,10.1,1420,-5.0,-39.3
2185,ALLOT COMMUNICATIONS,Israel,Software & Computer Services,19.6,22.5,33.9,28.0,70.0,-7.8,19.2,2.0,-29.2,5.1,2.8,-5.1,-21.7,8.8,-7.3,430,-2.7,17.7
2186,O2MICRO,Cayman Islands,Electronic & Electrical Equipment,19.6,-21.3,-4.5,36.6,53.5,-24.5,-18.8,0.5,-65.5,   ,1.0,-14.9,-26.6,  ,-27.8,492,-24.9,-12.4
2187,ORISE TECHNOLOGY,Taiwan,Electronic & Electrical Equipment,19.6,43.5,21.7,8.7,226.0,87.0,18.9,0.4,-29.8,-17.8,0.2,10.5,130.2,-12.6,4.6,,-100.0,-100.0
2188,FAIRFORD EUROPE,Sweden,Support Services,19.5,19.4,21.0,4.7,414.8,4.4,16.6,,   ,   ,0.0,13.0,-5.3,83.6,3.1,1880,4.7,20.6
2189,ZHEJIANG WANFENG AUTO WHEEL,China,Automobiles & Parts,19.5,3.6,64.0,3.7,529.3,10.6,8.2,57.9,69.2,55.2,10.9,52.2,12.1,3.1,9.9,6264,-0.4,32.1
2190,HANWHA,South Korea,General Industrials,19.5,-17.2,   ,0.1,26605.9,8.6,3.7,741.9,-7.0,-6.6,2.8,593.4,-29.6,-18.0,2.2,,   ,   
2191,DAIO PAPER,Japan,Forestry & Paper,19.5,32.0,10.9,0.7,2961.4,5.6,1.6,150.7,25.8,0.2,5.1,71.1,15.8,-7.8,2.4,7759,5.6,1.3
2192,YGSOFT,China,Software & Computer Services,19.5,22.5,32.1,17.8,109.5,21.7,25.0,9.6,119.6,26.5,8.8,37.2,27.7,29.6,34.0,3185,18.4,14.4
2193,PAREXEL,US,Pharmaceuticals & Biotechnology,19.5,13.0,5.4,1.2,1643.3,13.5,16.8,52.6,-10.5,6.5,3.2,146.8,50.1,32.1,8.9,15560,5.9,13.8
2194,REVLON,US,Personal Goods,19.5,11.2,3.9,1.8,1083.8,7.0,4.2,20.7,36.8,23.5,1.9,158.0,-1.0,3.0,14.6,6900,35.3,12.1
2195,FERRO,US,Chemicals,19.5,-10.3,-0.5,1.6,1185.9,-6.3,-8.0,24.8,-41.7,-8.5,2.1,104.3,-164.4,-7.6,8.8,4364,-11.8,-4.6
2196,MANZ AUTOMATION,Germany,Industrial Engineering,19.5,-42.2,-1.8,7.3,266.2,44.6,13.6,,   ,   ,0.0,3.1,-110.1,76.7,1.2,1799,-6.3,5.4
2197,CGI,Canada,Technology Hardware & Equipment,19.5,-19.1,-16.5,0.3,6872.6,111.3,39.3,96.7,119.9,43.9,1.4,500.1,145.8,14.3,7.3,,   ,   
2198,GLOBUS MEDICAL,US,Health Care Equipment & Services,19.5,-3.8,8.0,6.2,315.0,12.6,14.7,17.2,-4.1,24.4,5.5,91.4,10.5,11.7,29.0,850,4.9,   
2199,ZUKEN,Japan,Electronic & Electrical Equipment,19.4,7.5,-2.0,14.3,136.2,10.5,3.2,2.4,76.2,32.7,1.7,4.3,85.9,45.1,3.2,1171,-1.7,-3.0
2200,DAINICHISEIKA COLOUR & CHEMICALS MFG,Japan,Chemicals,19.4,1.5,-0.4,1.7,1116.1,6.6,0.6,27.9,-17.3,17.7,2.5,60.6,13.4,3.3,5.4,3628,0.4,-0.1
2201,EBIX,US,Software & Computer Services,19.4,7.9,25.3,13.1,148.4,2.7,15.7,0.9,-37.4,-11.2,0.6,54.4,-3.8,12.6,36.6,,-100.0,-100.0
2202,CLAL INDUSTRIES,Israel,General Industrials,19.4,63.2,-20.2,2.0,990.4,-18.9,-2.8,,   ,   ,0.0,67.3,-23.2,-18.8,6.8,,   ,   
2203,HEFEI RONGSHIDA SANYO ELECTRIC,China,Household Goods & Home Construction,19.4,29.6,33.1,3.1,618.0,162.4,101.7,13.8,-36.9,50.0,2.2,49.6,77.2,76.7,8.0,3449,119.1,65.8
2204,HANGZHOU SILAN MICROELECTRONICS,China,Technology Hardware & Equipment,19.4,13.0,12.9,10.1,191.8,20.9,2.3,20.3,-56.5,-16.0,10.6,9.2,53613.4,-35.9,4.8,3724,20.9,71.1
2205,DOMETIC,Sweden,General Industrials,19.4,5.5,3.3,   ,,   ,-100.0,,   ,   ,   ,,   ,-100.0,   ,,   ,-100.0
2206,NATIONZ TECHNOLOGIES,China,Technology Hardware & Equipment,19.4,8.1,6.8,38.3,50.7,0.1,-15.3,3.3,-27.4,-5.6,6.5,-11.5,13.3,  ,-22.8,509,-25.1,-4.4
2207,ORTHOFIX,The Netherlands,Health Care Equipment & Services,19.4,-6.3,-1.4,6.7,290.4,-10.5,-10.8,18.0,-11.5,-1.4,6.2,-2.1,-103.7,  ,-0.7,889,-0.3,-15.7
2208,K+S,Germany,Chemicals,19.4,-42.9,8.2,0.5,3950.4,0.4,-7.5,708.9,77.7,59.0,17.9,628.3,-22.4,-2.6,15.9,14421,0.4,-1.8
2209,KENDRION,The Netherlands,Industrial Engineering,19.4,13.5,22.3,5.5,354.0,24.3,16.8,15.2,-10.6,4.8,4.3,20.9,-13.6,-2.7,5.9,2756,68.9,26.1
2210,COMBA TELECOM SYSTEMS HOLDINGS,Cayman Islands,Technology Hardware & Equipment,19.4,-45.0,-0.6,3.6,535.0,-9.7,3.3,4.9,-61.8,-30.5,0.9,-2.9,-68.6,  ,-0.5,9600,-3.0,0.7
2211,AEON,Japan,General Retailers,19.4,5.1,42.1,   ,,   ,   ,,   ,   ,   ,251.8,38.8,0.4,   ,436,4.3,6.7
2212,MEETME,US,Software & Computer Services,19.3,-11.3,77.4,66.0,29.3,-13.5,88.2,0.1,-82.4,-35.0,0.4,-4.6,28.3,1.6,-15.7,125,-17.8,18.0
