,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
208,EATON CORPORATION,Ireland,Electronic & Electrical Equipment,467.0,46.7,14.9,2.9,15985.8,35.2,17.1,445.2,3.5,15.9,2.8,1562.6,40.8,22.5,9.8,102000,-1.0,13.4
209,NXP SEMICONDUCTORS,The Netherlands,Technology Hardware & Equipment,463.3,5.4,4.4,13.3,3491.4,10.5,0.4,155.9,-14.3,-5.9,4.5,351.7,11.5,9.6,10.1,25691,1.3,0.4
210,OLYMPUS,Japan,Health Care Equipment & Services,460.0,5.4,-0.2,9.4,4911.8,-4.1,-5.6,188.3,13.8,10.5,3.8,472.2,149.6,24.7,9.6,30702,0.0,-3.7
211,ISUZU MOTORS,Japan,Industrial Engineering,458.8,9.0,4.4,3.8,12125.5,6.4,7.5,548.1,55.2,46.3,4.5,1197.4,33.2,26.4,9.9,29430,12.7,6.4
212,CA,US,Software & Computer Services,454.6,-4.3,-2.3,13.9,3273.9,-2.1,0.6,76.1,-51.2,-26.3,2.3,950.6,-1.6,1.3,29.0,,-100.0,-100.0
213,TWITTER,US,Software & Computer Services,448.1,480.9,187.7,92.9,482.1,109.8,186.5,54.9,49.7,137.0,11.4,-461.0,724.9,111.2,-95.6,2712,   ,   
214,NATIONAL AUSTRALIA BANK,Australia,Banks,447.4,49.4,40.3,3.9,11578.3,3.2,2.5,,   ,   ,0.0,5271.7,33.2,13.1,45.5,,   ,   
215,ACTAVIS,Ireland,Pharmaceuticals & Biotechnology,447.3,53.3,27.7,7.1,6292.2,46.7,34.5,129.0,29.4,46.5,2.1,-121.8,-152.4,  ,-1.9,19200,8.5,47.1
216,CORNING,US,Technology Hardware & Equipment,444.5,-3.5,7.7,7.8,5669.6,-2.4,5.6,738.9,-43.4,0.4,13.0,1037.6,14.9,0.2,18.3,30400,5.9,5.1
217,KOMATSU,Japan,Industrial Engineering,444.0,6.1,9.6,3.3,13453.2,3.6,2.0,1281.0,30.1,22.7,9.5,1656.1,13.7,2.6,12.3,47208,1.0,4.8
218,NIPPON STEEL,Japan,Industrial Metals & Mining,443.7,7.3,-2.5,1.2,37985.2,25.7,10.3,2199.5,-8.7,0.4,5.8,2054.8,-364.7,24.6,5.4,84361,1.4,12.5
219,SALESFORCE.COM,US,Software & Computer Services,443.3,41.2,43.4,15.0,2951.9,33.5,34.9,216.9,66.4,-6.7,7.3,-207.4,158.4,  ,-7.0,13300,   ,35.8
220,AUTODESK,US,Software & Computer Services,443.1,1.8,5.5,26.9,1648.8,-1.7,5.2,46.6,13.8,31.4,2.8,215.8,-14.9,1.8,13.1,7600,4.1,3.8
