World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
221,NORTHROP GRUMMAN,US,US,Electronic & Electrical Equipment,667.2,19.6,26283.8,15.7,2.5,1090.8,34.6,4.2,3301.3,17.5,12.6,85000.0,21.4,45392.2,9.7
222,OLYMPUS,Japan,Japan,Health Care Equipment & Services,666.4,6.7,6255.8,0.9,10.7,371.1,-3.6,5.9,567.8,-14.1,9.1,35124.0,-2.3,12220.4,19.2
223,CARL ZEISS,Germany,EU,Health Care Equipment & Services,656.1,14.8,5817.2,8.8,11.3,244.4,5.6,4.2, , , ,27759.0,7.5, , 
224,HYUNDAI MOBIS,South Korea,RoW,Automobiles & Parts,655.2,7.7,27514.6,0.0,2.4,438.6,-22.6,1.6,1585.1,0.0,5.8,10110.0,5.3,17068.8,-5.1
225,SHANGHAI CONSTRUCTION,China,China,Construction & Materials,653.5,11.5,21336.0,19.6,3.1,259.1,34.4,1.2,728.4,31.2,3.4,37820.0,8.0,3288.0,-18.9
226,CERNER,US,US,Software & Computer Services,652.5,5.8,4686.7,4.4,13.9,390.3,23.4,8.3,676.7,-19.3,14.4,29200.0,12.3,18708.7,-4.7
227,XILINX,US,US,Technology Hardware & Equipment,648.9,16.1,2671.6,24.0,24.3,77.8,78.4,2.9,838.6,33.5,31.4,4433.0,10.4,17191.5,19.9
228,MICHELIN,France,EU,Automobiles & Parts,648.0,1.1,22028.0,0.3,2.9,1467.0,-7.4,6.7,2566.0,-2.6,11.6,117400.0,2.9,18249.3,-11.6
229,SNAP,US,US,Technology Hardware & Equipment,645.6,-51.0,1031.0,43.1,62.6,105.0,42.3,10.2,-1107.8,-63.6,-107.5,2884.0,-6.0,9167.3,-10.8
230,MAMOURA DIVERSIFIED GLOBAL HOLDING,United Arab Emirates,RoW,Financial Services,642.1,-8.4,31555.7,283.2,2.0,3766.2,76.7,11.9,1591.4,-632.4,5.0,700.0,0.0, , 
231,ALEXION PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,637.8,-16.9,3608.0,16.3,17.7,186.0,-40.4,5.2,1290.9,101.9,35.8,2656.0,5.2,23792.4,-14.3
232,AUTODESK,US,US,Software & Computer Services,633.2,-4.0,2244.4,25.0,28.2,58.5,32.1,2.6,14.8,-104.1,0.7,9600.0,9.1,29470.3,34.5
233,DASSAULT SYSTEMES,France,EU,Software & Computer Services,631.1,9.5,3477.4,7.7,18.1,62.1,-4.3,1.8,768.1,5.4,22.1,16055.0,-0.5,36652.3,70.4
234,GUANGZHOU AUTOMOBILE,China,China,Automobiles & Parts,623.0,63.8,9224.2,1.1,6.8,1255.6,58.7,13.6,357.6,-33.3,3.9,94856.0,12.5,2943.2,-22.7
235,KLA,US,US,Technology Hardware & Equipment,616.5,16.0,3990.3,13.2,15.5,114.0,94.9,2.9,1212.8,-9.8,30.4,10020.0,53.0,15845.8,23.5
236,MYLAN,Netherlands,EU,Pharmaceuticals & Biotechnology,615.3,-9.1,9985.9,-4.0,6.2,220.2,-8.6,2.2,790.9,-37.0,7.9,35000.0,0.0,17619.3,19.5
237,KOREA ELECTRIC POWER,South Korea,RoW,Electricity,614.7,2.5,47458.9,1.4,1.3,9689.0,-2.4,20.4,-162.8,-104.2,-0.3, , ,15327.0,-28.9
238,SCHLUMBERGER,US,US,"Oil Equipment, Services & Distribution",613.1,-10.8,28659.4,7.8,2.1,1886.5,2.5,6.6,2476.0,-437.1,8.6,100000.0,0.0,76350.1,-0.6
239,INTESA SANPAOLO,Italy,EU,Banks,613.0,1.3,17809.0,-0.1,3.4,112.0,-57.1,0.6,5458.0,-30.2,30.6,88891.0,1.8,37245.4,-17.2
240,BIOMARIN PHARMACEUTICAL,US,US,Pharmaceuticals & Biotechnology,608.1,14.0,1302.4,13.5,46.7,126.3,-27.4,9.7,-96.7,625.4,-7.4,2849.0,10.4,15507.0,12.3
241,DONGFENG MOTOR,China,China,Automobiles & Parts,605.9,11.4,13323.2,-17.0,4.5,393.7,-6.2,3.0,-58.8,-1807.4,-0.4,139602.0,-4.9,2792.1,-13.7
242,PEPSICO,US,US,Beverages,593.9,-7.7,56472.5,1.8,1.1,2866.4,10.5,5.1,9140.6,-0.2,16.2,267000.0,1.5,138356.4,-4.0
243,BT,UK,EU,Fixed Line Telecommunications,592.1,4.9,25976.4,-1.2,2.3,4078.1,9.4,15.7,3793.1,1.2,14.6,106700.0,0.9,23911.0,-25.7
244,TWITTER,US,US,Software & Computer Services,589.4,3.2,2657.1,24.5,22.2,422.6,201.1,15.9,393.3,-2000.2,14.8,3920.0,16.3,23284.7,113.7
245,THOMSON REUTERS,Canada,RoW,Support Services,588.6,-2.9,8889.1,-10.2,6.6,503.1,-39.4,5.7,1930.1,26.4,21.7,25800.0,-44.0,26104.0,-0.1
246,LIEBHERR-INTERNATIONAL,Switzerland,RoW,Industrial Engineering,586.0,5.0,10551.0,7.2,5.6,463.0,10.5,4.4,632.0,3.8,6.0,46169.0,5.2, , 
