World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
265,HENKEL,Germany,Household Goods & Home Construction,468.0,-6.2,18714.0,3.5,2.5,557.0,-10.9,3.0,2769.0,5.7,14.8,51.4,3.8,21012.5,27.1
266,ONO PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,467.1,32.6,1740.9,48.2,26.8,,,,485.0,90.1,27.9,3.3,5.6,12907.6,-12.9
267,EMBRAER,Brazil,Aerospace & Defence,460.1,9.8,6240.8,5.6,7.4,393.7,18.5,6.3,179.1,-44.2,2.9,18.5,-4.5,3089.2,-37.6
268,RED HAT,US,Software & Computer Services,455.9,16.5,2288.0,17.5,19.9,76.7,45.7,3.4,315.2,15.3,13.8,10.5,19.3,12538.1,-0.2
269,SAINT-GOBAIN,France,Construction & Materials,455.0,2.7,39093.0,-6.1,1.2,1521.0,3.1,3.9,2485.0,47.9,6.4,172.1,1.6,21818.8,-7.1
270,METALLURGICAL OF CHINA,China,General Industrials,451.8,17.0,29350.1,2.2,1.5,425.2,-7.2,1.4,1742.6,30.1,5.9,100.3,-2.9,881.7,-12.2
271,CHEVRON,US,Oil & Gas Producers,451.6,-20.8,104813.6,-14.8,0.4,17179.6,-38.6,16.4,-4098.3,2858.9,-3.9,55.2,-10.2,180007.8,24.5
272,KYOCERA,Japan,Electronic & Electrical Equipment,450.1,-5.7,11555.9,-3.8,3.9,543.4,1.2,4.7,849.1,12.8,7.3,70.2,1.3,15077.9,-17.4
273,NATIONAL AUSTRALIA BANK,Australia,Banks,449.6,-14.6,14908.6,-5.8,3.0,600.7,-10.3,4.0,6163.1,-5.6,41.3,34.3,1.1,49864.1,-11.2
274,QORVO,US,Technology Hardware & Equipment,446.7,4.9,2876.9,16.2,15.5,524.3,75.1,18.2,85.5,653.3,3.0,8.6,17.8,6968.1,-11.5
275,INCYTE,US,Pharmaceuticals & Biotechnology,445.3,16.9,1049.0,46.7,42.4,114.1,362.6,10.9,137.6,186.3,13.1,1.0,41.6,14464.5,-27.3
276,GARMIN,Switzerland,Leisure Goods,443.9,9.6,2863.7,7.0,15.5,86.3,12.9,3.0,591.9,13.5,20.7,11.6,-0.4,9688.3,30.5
277,QINGDAO HAIER,China,Household Goods & Home Construction,443.5,32.0,16083.1,32.7,2.8,354.6,4.3,2.2,902.6,31.8,5.6,74.6,16.9,7855.8,4.1
278,KAO,Japan,Personal Goods,443.2,5.0,11839.0,-1.1,3.7,606.2,8.1,5.1,1515.9,10.5,12.8,33.2,2.8,22011.3,-3.2
