EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
2118,MARKETO,US,Software & Computer Services,24.1,22.7,30.6,123.5,56.3,43.6,19.5,7.4,-23.9,92.0,6.0,-45.8,18.8,27.7,-37.1,715,37.8,
2119,AKORN,US,Pharmaceuticals & Biotechnology,24.0,47.0,19.8,488.5,86.7,32.4,4.9,845.0,"1,428.4",-12.1,173.0,106.1,41.4,38.9,21.7,"1,298",63.3,12.1
2120,DIASORIN,Italy,Pharmaceuticals & Biotechnology,24.0,-2.4,5.4,443.8,2.1,-0.4,5.4,28.1,,,6.3,105.5,-21.6,-6.2,23.8,"1,620",1.1,1.9
2121,NEOSTEM,US,Pharmaceuticals & Biotechnology,24.0,72.3,30.0,14.8,22.3,13.4,162.1,3.0,35.9,67.3,20.4,-47.6,56.9,2.7,-321.9,182,68.5,-48.4
2122,TIANJIN ZHONGHUAN SEMICONDUCTOR,China,Technology Hardware & Equipment,24.0,6.3,14.9,627.8,27.7,13.6,3.8,250.9,31.2,-0.4,40.0,53.9,122.2,-12.1,8.6,"3,629",-1.1,9.8
2123,IMMUCOR,US,Pharmaceuticals & Biotechnology,23.9,36.4,10.3,320.6,0.3,4.8,7.5,,,,0.0,35.6,-137.8,,11.1,,,-100.0
2124,MITSUI ENGINEERING & SHIPBUILDING,Japan,Industrial Engineering,23.9,-13.1,-6.8,"5,574.7",21.9,5.4,0.4,113.3,-26.2,23.7,2.0,72.4,-10.0,-27.4,1.3,"12,291",2.0,6.3
2125,SANWA,Japan,Construction & Materials,23.9,11.3,8.6,"2,314.8",8.7,7.9,1.0,52.8,8.6,34.9,2.3,159.4,13.0,32.6,6.9,"8,546",2.1,-0.6
2126,NEWLINK GENETICS,US,Pharmaceuticals & Biotechnology,23.9,34.4,20.4,142.2,"15,690.7",-16.4,16.8,1.4,22.7,70.2,1.0,96.8,-477.6,19.9,68.1,130,25.0,10.5
2127,ALLOT COMMUNICATIONS,Israel,Software & Computer Services,23.9,7.4,26.9,96.5,21.4,7.5,24.8,2.8,25.3,-2.9,2.9,-2.6,-56.0,,-2.7,462,7.4,9.9
2128,BANKRATE,US,Financial Services,23.9,54.7,8.0,448.8,19.3,2.5,5.3,8.8,5.6,17.4,2.0,35.6,-5.7,-19.1,7.9,552,13.1,3.7
2129,HONGFA TECHNOLOGY,China,Electronic & Electrical Equipment,23.9,9.8,39.0,527.2,18.2,77.3,4.5,54.5,98.7,165.4,10.3,94.2,23.9,,17.9,"13,626",27.7,129.1
2130,FORMOSA PLASTICS,Taiwan,General Industrials,23.9,2.9,-7.4,"5,630.2",0.5,-0.2,0.4,209.9,-38.6,53.7,3.7,401.7,-29.6,-16.0,7.1,,,-100.0
2131,GSI,Canada,Industrial Engineering,23.8,9.0,-6.0,300.4,6.8,-2.3,7.9,4.5,8.6,5.8,1.5,-13.8,-187.6,-24.8,-4.6,39,,
2132,FROSTBITE HOLDING,Sweden,Support Services,23.8,30.2,15.0,937.5,12.8,14.6,2.5,,,,0.0,99.8,3.5,12.5,10.6,"6,349",1.6,-3.5
2133,GOODBABY INTERNATIONAL,China,Personal Goods,23.8,113.7,-1.1,649.5,46.0,2.0,3.7,16.9,34.6,-8.0,2.6,16.0,-26.1,10.4,2.5,"12,255",5.9,-6.7
2134,AERO VODOCHODY AEROSPACE,Czech Republic,Aerospace & Defence,23.8,,-100.0,237.8,,,10.0,,,,0.0,24.5,,,10.3,"1,750",,
2135,POLA ORBIS,Japan,Personal Goods,23.7,-7.8,1.3,"1,352.5",3.5,4.7,1.8,43.0,10.3,33.1,3.2,78.8,-11.0,2.3,5.8,"3,944",-5.6,3.1
2136,UNIPRES,Japan,Automobiles & Parts,23.7,7.4,10.3,"2,107.9",6.6,6.6,1.1,158.1,-17.4,17.0,7.5,117.4,12.3,-14.7,5.6,"8,859",13.9,6.1
2137,SERVICESOURCE,US,Software & Computer Services,23.7,20.7,7.7,224.2,-0.1,9.9,10.6,7.7,77.9,-27.9,3.4,-66.3,358.6,77.4,-29.6,"3,017",3.5,11.4
2138,WONIK IPS,South Korea,Technology Hardware & Equipment,23.7,33.4,21.5,417.5,31.7,7.5,5.7,24.4,-40.4,-4.6,5.9,68.8,66.7,23.9,16.5,,,
2139,SMK,Japan,Electronic & Electrical Equipment,23.7,5.1,2.4,452.2,0.7,5.9,5.2,27.9,7.6,-1.1,6.2,5.1,-56.1,,1.1,"5,772",-10.8,-6.9
2140,OSAKI ELECTRIC,Japan,Electronic & Electrical Equipment,23.7,39.7,10.9,528.2,17.8,11.5,4.5,13.6,-34.8,11.3,2.6,13.7,31.5,-19.3,2.6,"3,069",-13.2,1.6
2141,TURK TELEKOMUNIKASYON,Turkey,Mobile telecommunications,23.6,70.9,12.9,"4,826.9",3.7,3.2,0.5,769.8,-5.4,7.1,15.9,"1,080.5",-13.7,2.1,22.4,"34,389",-0.3,-0.4
2142,SPECTRANETICS,US,Health Care Equipment & Services,23.6,42.7,11.4,168.8,29.0,7.7,14.0,5.5,45.5,20.2,3.3,-16.2,"-5,090.4",-50.9,-9.6,753,31.0,4.5
2143,SEOUL VIOSYS,South Korea,Electronic & Electrical Equipment,23.6,6.2,13.0,223.0,,,10.6,,,,0.0,11.1,,,5.0,,,
2144,JABIL CIRCUIT,US,Electronic & Electrical Equipment,23.6,0.5,4.4,"14,742.8",13.6,-0.8,0.2,793.3,54.3,7.8,5.4,484.7,103.3,-19.2,3.3,,-100.0,0.2
2145,SAPPI,South Africa,Forestry & Paper,23.6,-3.1,4.3,"4,992.2",2.3,-6.7,0.5,,,-100.0,0.0,259.5,262.1,-28.3,5.2,"13,064",-4.4,-2.8
2146,MICRONAS SEMICONDUCTOR,Switzerland,Technology Hardware & Equipment,23.6,-1.6,0.4,158.5,4.3,-1.5,14.9,20.4,93.5,-17.9,12.9,5.9,-25.9,-22.1,3.7,929,1.9,1.2
2147,BRIGHTCOVE,US,Software & Computer Services,23.5,29.3,12.3,103.0,13.8,20.0,22.9,3.7,16.3,-3.9,3.6,-10.0,63.2,-22.8,-9.7,410,18.2,3.6
2148,KUMHO PETRO CHEMICAL,South Korea,Chemicals,23.5,-15.5,-4.6,"3,570.7",-7.1,-7.4,0.7,191.3,-27.8,6.2,5.4,138.5,37.7,-45.7,3.9,,,
2149,NACHI FUJIKOSHI,Japan,Industrial Engineering,23.5,12.1,3.1,"1,489.9",24.2,1.9,1.6,120.2,65.8,9.2,8.1,126.8,50.6,-4.7,8.5,"6,296",3.7,2.5
2150,JOYOUNG,China,Household Goods & Home Construction,23.5,2.8,11.1,792.5,11.4,0.9,3.0,19.1,-39.2,17.4,2.4,90.3,3.3,-0.6,11.4,"3,716",0.3,-3.0
2151,HANGZHOU HANGYANG,China,Industrial Engineering,23.5,-4.3,12.9,770.8,7.1,9.7,3.0,86.2,-54.3,56.5,11.2,51.4,-4.1,-13.1,6.7,"4,144",0.9,5.3
2152,STABILUS,Luxembourg,General Industrials,23.4,3.7,17.8,507.3,10.3,,4.6,21.2,5.1,,4.2,30.6,-13.2,,6.0,"4,055",9.2,
2153,HUBER UND SUHNER,Switzerland,Electronic & Electrical Equipment,23.4,3.7,-0.4,623.3,4.0,-1.7,3.8,33.0,69.5,-14.4,5.3,57.5,33.7,-7.9,9.2,"3,891",11.1,-3.2
2154,MERGE HEALTHCARE,US,Software & Computer Services,23.4,-12.2,5.6,174.9,-8.4,-0.1,13.4,5.0,119.4,12.0,2.9,19.7,63.8,-23.1,11.2,800,0.0,-4.7
2155,CHICAGO BRIDGE & IRON,The Netherlands,Industrial Engineering,23.4,5.0,-0.6,"10,686.9",16.9,34.6,0.2,,,,0.0,807.4,88.9,18.2,7.6,"54,400",-2.7,45.4
2156,VOSSLOH,Germany,Industrial Engineering,23.4,-6.8,-0.1,"1,323.9",1.8,2.8,1.8,55.2,-14.3,-0.6,4.2,-171.7,-487.6,-15.8,-13.0,"5,781",5.5,3.0
2157,LI NING,China,Personal Goods,23.4,0.7,-9.3,905.6,15.5,-13.3,2.6,32.6,158.5,-32.0,3.6,-71.2,4.9,,-7.9,"3,735",4.0,-4.9
2158,ZEALAND PHARMA,Denmark,Pharmaceuticals & Biotechnology,23.4,14.7,17.0,20.7,"2,239.1",-64.1,113.0,0.6,-1.6,-26.4,2.9,-9.9,-60.4,,-47.8,103,13.2,0.0
2159,LONGCHEER,China,Electronic & Electrical Equipment,23.4,-11.4,-10.8,734.3,38.2,3.3,3.2,2.1,160.9,-65.0,0.3,14.8,31.2,,2.0,,,
2160,GALENA BIOPHARMA,US,Pharmaceuticals & Biotechnology,23.4,34.5,76.2,7.7,274.7,,304.3,4.6,-65.1,568.7,59.3,-43.0,54.3,39.4,-560.4,57,-5.0,15.4
2161,MARIN SOFTWARE,US,Software & Computer Services,23.4,36.9,43.1,81.8,28.5,28.9,28.5,7.0,2.7,34.8,8.5,-28.0,-1.0,27.2,-34.2,571,14.2,20.6
2162,MEETME,US,Software & Computer Services,23.3,6.2,40.9,36.9,11.0,55.7,63.2,0.9,646.3,-36.2,2.5,-2.5,-52.3,2.8,-6.8,121,-3.2,-16.3
2163,KENDRION,The Netherlands,Industrial Engineering,23.3,20.1,16.7,428.9,21.2,9.7,5.4,16.4,7.9,10.4,3.8,30.9,37.3,-1.7,7.2,"2,713",-1.6,23.0
2164,CHINA XD PLASTICS,US,Chemicals,23.3,55.9,56.9,914.8,5.7,40.2,2.5,276.4,"1,463.5",-30.0,30.2,141.4,-7.5,34.2,15.5,"1,293",34.0,21.6
2165,ANHUI HELI,China,Industrial Engineering,23.2,15.1,10.4,890.2,2.3,1.3,2.6,27.1,15.0,-12.2,3.0,78.7,3.5,5.2,8.8,"6,174",0.8,3.5
2166,HUADONG MEDICINE,China,Pharmaceuticals & Biotechnology,23.2,7.3,16.4,"2,534.0",13.3,14.6,0.9,43.7,-3.3,14.4,1.7,179.2,25.0,14.0,7.1,"6,263",17.3,14.0
2167,PRICEWATERHOUSECOOPERS,UK,Support Services,23.1,0.0,44.2,"3,617.6",4.6,3.0,0.6,,,,0.0,"1,025.9",4.3,3.9,28.4,"18,096",3.9,0.7
2168,ENERGEN,US,Oil & Gas Producers,23.1,100.1,,,,-100.0,,"1,041.1",13.9,7.6,,147.9,-29.0,-13.7,,550,-61.6,-2.3
2169,VARONIS SYSTEMS,US,Software & Computer Services,23.1,33.9,17.1,83.5,35.8,23.3,27.7,1.9,72.9,34.0,2.3,-14.3,196.1,19.8,-17.1,840,46.6,
2170,DESCARTES SYSTEMS,Canada,Software & Computer Services,23.1,8.5,10.8,140.7,12.9,9.9,16.4,2.2,12.3,-20.4,1.6,18.6,53.3,-1.5,13.2,,,
2171,CHANGSHIN,South Korea,Personal Goods,23.1,9.9,3.8,720.8,19.2,3.9,3.2,,,,0.0,38.0,33.1,35.7,5.3,680,,
2172,TP PETROL DAGITIM,Turkey,Oil & Gas Producers,23.1,-16.8,,902.7,26.6,31.7,2.6,,,,0.0,7.0,-26.3,96.7,0.8,,,
2173,GUANGDONG XINBAO ELECTRICAL APPLIANCES,China,Household Goods & Home Construction,23.0,49.0,18.9,735.5,10.9,0.2,3.1,42.5,9.9,-3.5,5.8,35.8,-1.7,5.4,4.9,"18,323",42.4,
2174,MANDO CORPORATION,South Korea,Automobiles & Parts,23.0,,,"1,289.8",,,1.8,,,, ,59.4,,,4.6,,,
2175,SAFESTITCH MEDICAL,US,Health Care Equipment & Services,23.0,120.0,55.7,0.3,-72.0,, ,1.8,57.9,67.5,542.1,-30.2,61.3,58.7, ,100,8.7,46.9
2176,GLOBAL EAGLE ENTERTAINMENT,US,Technology Hardware & Equipment,23.0,153.7,38.8,319.4,49.3,,7.2,7.9,-16.6,,2.5,-27.0,-28.0,286.4,-8.4,781,7.0,
2177,INSULET,US,Health Care Equipment & Services,23.0,28.2,-0.1,237.8,16.9,17.5,9.7,9.5,57.2,-13.0,4.0,-10.1,-57.8,-8.1,-4.3,519,8.6,-6.0
2178,BROS EASTERN,China,Personal Goods,23.0,10.3,150.1,594.8,13.8,-0.9,3.9,169.0,38.7,56.5,28.4,59.8,16.3,-25.2,10.1,"17,809",17.1,11.3
2179,LINGYUN INDUSTRIAL,China,Automobiles & Parts,22.9,24.6,17.3,849.3,16.3,9.1,2.7,51.8,-20.2,3.3,6.1,64.8,36.6,-7.0,7.6,"8,611",4.3,8.2
2180,F TECH,Japan,Automobiles & Parts,22.9,25.8,13.2,"1,198.7",1.8,9.7,1.9,98.9,11.7,22.2,8.3,36.7,-19.8,12.9,3.1,"5,972",3.2,0.3
2181,ION BEAM APPLICATIONS,Belgium,Health Care Equipment & Services,22.9,-14.9,-6.1,220.6,-10.0,5.4,10.4,2.9,74.1,-53.1,1.3,21.4,333.4,-5.1,9.7,"1,100",10.0,-21.4
2182,WURTH,Germany,General Industrials,22.9,112.0,-4.2,"10,126.4",3.9,0.2,0.2,,,,0.0,566.7,11.1,3.6,5.6,"65,104",1.4,-0.4
2183,NH FOODS,Japan,Food Producers,22.9,-2.0,4.6,"8,280.3",8.1,3.1,0.3,235.7,52.1,9.4,2.8,330.7,35.7,4.3,4.0,"15,700",0.6,0.0
2184,CONMED,US,Health Care Equipment & Services,22.9,7.5,-3.4,609.5,-3.0,1.7,3.8,12.7,-16.4,1.7,2.1,67.8,12.2,78.8,11.1,"3,500",-2.8,1.9
2185,NEUSTAR,US,Software & Computer Services,22.8,-0.9,16.9,793.7,6.8,13.3,2.9,49.6,13.0,5.2,6.2,220.6,-8.1,9.3,27.8,"1,576",-2.9,2.9
2186,KMD,Denmark,Software & Computer Services,22.8,6.0,6.1,647.7,3.1,3.1,3.5,,,,0.0,22.1,115.2,-44.2,3.4,"2,998",-6.3,0.9
2187,GUNZE,Japan,Personal Goods,22.8,4.9,-0.6,963.8,-0.9,1.4,2.4,60.0,30.8,-3.1,6.2,21.1,-29.5,62.3,2.2,"7,354",-3.6,-5.2
2188,PROMETIC LIFE SCIENCES,Canada,Pharmaceuticals & Biotechnology,22.8,134.2,11.6,16.3,11.5,5.5,139.7,5.7,14.9,165.3,34.6,-9.3,-18.4,112.6,-56.9,,,
2189,LANNETT,US,Pharmaceuticals & Biotechnology,22.8,70.5,23.7,335.1,48.6,30.6,6.8,26.3,22.6,70.8,7.9,186.5,157.1,133.6,55.7,502,25.8,7.2
2190,SHENZHEN EVENWIN PRECISION TECHNOLOGY,China,Electronic & Electrical Equipment,22.8,23.2,36.3,309.0,34.2,30.1,7.4,97.5,128.5,9.1,31.6,51.4,35.2,18.4,16.6,"5,931",13.6,4.0
2191,TUI,Germany,Travel & Leisure,22.8,23.9,10.9,"18,714.7",1.3,1.9,0.1,601.2,0.6,10.4,3.2,734.6,29.0,7.6,3.9,"77,309",3.8,0.3
2192,SUNESIS PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,22.8,-4.2,8.6,4.7,-27.9,16.7,482.5,0.0,,-100.0,0.8,-37.1,41.8,7.1,-785.5,39,21.9,1.1
2193,SANY HEAVY EQUIPMENT INTERNATIONAL,China,Industrial Engineering,22.8,-4.8,-1.5,292.8,-32.6,-4.8,7.8,,,,0.0,26.8,-52.5,-20.0,9.2,,,-100.0
2194,JCR PHARMACEUTICALS,Japan,Pharmaceuticals & Biotechnology,22.8,51.4,6.1,115.1,7.3,6.9,19.8,8.7,-47.0,102.1,7.6,13.8,30.4,12.4,12.0,501,6.1,3.6
2195,MONTAGE TECHNOLOGY GROUP,China,Technology Hardware & Equipment,22.8,57.2,16.6,91.3,41.7,,24.9,,,,0.0,22.3,41.3,,24.4,,-100.0,
2196,CHINA ELECTRONICS,China,Electronic & Electrical Equipment,22.7,0.6,15.3,144.1,2.7,9.9,15.8,,,-100.0,0.0,30.9,-19.8,33.9,21.4,500,0.0,19.9
2197,RAYDIUM SEMICONDUCTOR,Taiwan,Electronic & Electrical Equipment,22.7,-11.4,12.5,210.4,-25.8,6.4,10.8,0.2,-84.2,-11.5,0.1,11.5,-50.1,2.2,5.5,390,,-100.0
2198,MIBA,Austria,Automobiles & Parts,22.7,4.9,-6.6,669.3,0.0,4.1,3.4,51.4,-16.9,9.4,7.7,73.8,-42.9,29.0,11.0,"4,936",11.6,4.1
2199,RHI,Austria,Industrial Engineering,22.7,-4.2,1.9,"1,721.2",-1.9,-0.1,1.3,76.2,-14.8,1.1,4.4,99.0,-49.4,8.6,5.8,"8,016",-1.3,0.8
2200,AEROHIVE NETWORKS,US,Mobile telecommunications,22.7,6.6,39.1,113.1,28.1,46.7,20.1,5.6,131.9,61.1,4.9,-23.5,-4.0,26.8,-20.8,569,9.4,31.2
2201,TAKAOKA TOKO,Japan,General Industrials,22.7,3.2,,760.8,25.5,,3.0,34.4,35.6,,4.5,9.5,41.2,,1.2,"2,693",1.7,
2202,XIANGTAN ELECTRIC MANUFACTURING,China,Electronic & Electrical Equipment,22.7,-3.2,0.0,"1,029.9",17.0,2.0,2.2,3.1,-34.5,-48.0,0.3,56.8,28.9,-6.9,5.5,"7,499",-1.2,7.9
2203,ALIAXIS,Belgium,Construction & Materials,22.7,-3.0,3.0,,-100.0,5.2,,,,,,225.7,21.7,15.2,,"16,233",11.5,-0.6
2204,FARO TECHNOLOGIES,US,Electronic & Electrical Equipment,22.7,22.7,13.8,281.5,17.2,4.7,8.0,16.4,204.3,6.9,5.8,30.8,23.8,-2.8,10.9,"1,223",13.5,6.8
2205,IDERA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,22.6,162.5,-16.5,0.1,55.3,-3.9, ,0.9,"12,044.3",-26.9, ,-31.9,113.3,-11.1, ,45,150.0,-11.5
2206,DEMANDWARE,US,Software & Computer Services,22.6,59.6,15.5,132.2,50.6,23.5,17.1,7.5,64.8,17.0,5.7,-22.5,52.4,187.2,-17.0,590,54.0,21.2
2207,SHIJIAZHUANG YILING PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,22.6,13.6,,388.4,17.3,8.5,5.8,60.6,9.8,32.1,15.6,51.3,62.3,-21.7,13.2,"4,634",3.5,5.2
2208,KEDRION,Italy,Pharmaceuticals & Biotechnology,22.6,51.0,16.8,466.3,15.3,13.4,4.8,,,,0.0,77.0,10.7,19.0,16.5,"1,876",18.3,5.2
2209,CSSC OFFSHORE & MARINE ENGINEERING,China,Industrial Engineering,22.6,29.2,10.2,"1,244.6",66.8,-11.9,1.8,59.7,55.1,-4.9,4.8,-120.5,88.2,,-9.7,"4,362",-56.1,41.6
2210,ZAFGEN,US,Pharmaceuticals & Biotechnology,22.6,186.5,-5.7,,,,,0.0,241.2,-21.4,,-29.3,157.9,1.6,,22,83.3,
2211,CONTROL4,US,Electronic & Electrical Equipment,22.5,9.6,9.1,122.6,15.8,11.2,18.4,2.2,-21.9,20.4,1.8,7.3,65.8,,6.0,417,8.0,
2212,NIPPON SIGNAL,Japan,Electronic & Electrical Equipment,22.5,5.3,12.0,685.6,7.7,3.3,3.3,11.8,93.9,-11.8,1.7,57.2,41.0,21.7,8.3,"2,848",1.0,-1.6
2213,INFICON,Switzerland,Technology Hardware & Equipment,22.5,-1.7,3.9,251.6,4.3,-2.1,8.9,6.2,-39.4,28.2,2.4,42.3,11.3,-6.2,16.8,953,1.2,1.2
2214,STEPAN,US,Chemicals,22.4,-5.4,4.6,"1,587.4",2.5,0.7,1.4,83.9,9.6,3.7,5.3,78.0,-14.1,-2.4,4.9,"2,024",0.4,2.9
2215,ARIMA COMMUNICATIONS,Taiwan,Technology Hardware & Equipment,22.4,-0.6,5.7,703.0,-11.9,4.3,3.2,7.5,55.9,-44.2,1.1,19.5,80.6,-3.2,2.8,,,-100.0
2216,REPROS THERAPEUTICS,US,Pharmaceuticals & Biotechnology,22.3,18.3,38.2,,,,,,-100.0,-42.7,,-26.8,14.3,31.6,,28,12.0,24.4
2217,WHIRLPOOL CHINA,China,Household Goods & Home Construction,22.3,1.4,23.1,725.9,39.5,9.0,3.1,29.7,22.4,11.5,4.1,41.1,-7.4,-0.6,5.7,"3,900",50.9,12.1
2218,AEROSPACE COMMUNICATIONS,China,Personal Goods,22.3,5.3,33.1,924.3,-18.7,2.7,2.4,27.2,-38.8,4.5,2.9,2.7,-69.8,-17.5,0.3,"7,141",-1.4,293.4
2219,OCADO,UK,Food & Drug Retailers,22.2,14.6,22.4,"1,219.9",19.8,9.8,1.8,68.1,-12.7,-16.7,5.6,17.6,-491.4,,1.4,"7,005",22.0,3.5
2220,WEYERHAEUSER,US,Forestry & Paper,22.2,-18.2,3.2,"6,097.5",2.1,5.3,0.4,325.3,34.8,6.7,5.3,"1,153.1",35.4,14.6,18.9,"12,800",-6.6,2.3
2221,GUANGDONG HOMA APPLIANCES,China,Household Goods & Home Construction,22.2,2.4,,598.0,4.7,10.0,3.7,47.9,278.7,-22.2,8.0,32.6,-5.6,6.6,5.4,"3,602",-22.0,-7.2
2222,FAIVELEY TRANSPORT,France,Industrial Engineering,22.2,28.0,7.3,"1,048.4",9.5,2.1,2.1,14.3,28.3,3.3,1.4,93.8,-0.6,-0.6,8.9,"5,431",-2.2,0.5
2223,ANGIODYNAMICS,US,Health Care Equipment & Services,22.2,-2.1,10.3,294.0,0.7,16.9,7.5,10.9,5.4,60.6,3.7,21.1,8.0,25.6,7.2,"1,300",0.0,-2.4
2224,AMPIO PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,22.2,62.2,35.7,0.1,53.6,38.7, ,7.1,428.1,168.6, ,-32.2,62.6,29.2, ,23,43.8,10.1
2225,JFE,Japan,Industrial Metals & Mining,22.2,-89.6,-3.1,"26,287.8",5.0,5.0,0.1,"1,507.5",24.1,-2.8,5.7,"1,436.7",41.0,57.0,5.5,"58,856",2.9,1.9
2226,PETROLIAM NASIONAL,Malaysia,"Oil Equipment, Services & Distribution",22.2,14.6,-1.2,"74,780.3",9.1,6.4,0.0,,,,0.0,"22,554.2",6.1,-1.4,30.2,"49,193",6.6,3.5
2227,EBIX,US,Software & Computer Services,22.1,0.2,11.7,176.5,4.7,6.6,12.5,13.4,"1,223.3",-24.2,7.6,65.6,6.2,2.9,37.2,"2,343",21.6,10.6
2228,SAMSUNG FINE CHEMICALS,South Korea,Chemicals,22.1,-19.8,29.1,907.0,-7.9,-0.5,2.4,58.4,-75.6,19.7,6.4,-18.2,19.7,,-2.0,,,
2229,SAGENT PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,22.1,32.2,16.7,238.0,18.1,17.1,9.3,7.1,37.7,7.3,3.0,13.3,-23.4,,5.6,466,73.2,39.5
2230,SHANGHAI EAST CHINA COMPUTER,China,Technology Hardware & Equipment,22.1,23.2,141.0,769.8,3.1,12.3,2.9,2.2,-64.3,50.4,0.3,49.3,29.0,12.7,6.4,"2,236",-2.0,5.0
2231,ACTIA,France,Electronic & Electrical Equipment,22.1,21.1,-1.3,339.9,11.9,0.4,6.5,13.8,27.6,-8.6,4.1,17.5,40.7,-8.6,5.2,"2,762",3.1,-0.7
2232,QUALYS,US,Support Services,22.0,21.6,3.3,110.0,23.7,12.3,20.0,11.5,2.6,22.1,10.5,7.6,300.5,-7.4,6.9,431,6.2,
2233,OUTOKUMPU,Finland,Industrial Metals & Mining,22.0,-12.0,7.7,"7,438.0",10.3,10.4,0.3,118.0,-58.0,12.6,1.6,-208.0,-59.6,24.6,-2.8,"12,125",-3.5,15.0
2234,ANADIGICS,US,Technology Hardware & Equipment,22.0,-30.8,-5.0,71.1,-35.7,-4.2,31.0,0.7,-86.9,7.3,1.0,-28.3,-36.5,3.3,-39.8,293,-38.6,-4.1
2235,KOREA TRANSPORTATION SAFETY,South Korea,Industrial Transportation,22.0,26.4,11.6,182.7,2.8,11.1,12.0,,,,0.0,-0.1,-102.0,8.0,-0.1,,-100.0,
2236,HUACHUANG AUTOMOBILE INFORMATION TECHNICAL CENTER CO.,Taiwan,Automobiles & Parts,22.0,31.0,35.0,104.6,-17.7,-7.1,21.0,,,,0.0,4.6,-70.8,1.9,4.4,,,
2237,IXYS,US,Technology Hardware & Equipment,22.0,-13.7,2.3,279.0,0.7,-3.0,7.9,5.8,-7.9,-13.7,2.1,22.7,63.5,-24.7,8.1,958,-5.7,-4.7
2238,HUBSPOT,US,Software & Computer Services,21.9,65.3,17.1,95.4,49.3,39.6,23.0,9.9,50.1,40.8,10.3,-40.0,41.9,11.9,-41.9,785,,
2239,HUNAN GOLD,China,Mining,21.9,2.6,5.9,753.0,11.1,7.9,2.9,82.1,22.6,0.4,10.9,26.9,-32.1,-27.4,3.6,"6,559",-7.9,-2.8
2240,FUJIMI,Japan,Chemicals,21.9,11.3,6.1,224.0,19.4,0.1,9.8,4.9,-54.8,-2.2,2.2,28.2,294.0,3.1,12.6,798,3.0,0.7
2241,BALL,US,General Industrials,21.9,-14.7,11.8,"7,058.7",1.2,-0.6,0.3,321.9,3.3,-5.2,4.6,776.1,6.8,0.6,11.0,"14,500",-0.7,-0.9
2242,TAIHO KOGYO,Japan,Automobiles & Parts,21.9,-1.8,2.7,670.6,4.9,4.6,3.3,65.8,44.1,11.0,9.8,31.9,12.3,5.3,4.8,"3,956",1.0,3.3
2243,VETOQUINOL,France,Pharmaceuticals & Biotechnology,21.9,34.3,-0.7,315.3,5.2,1.8,6.9,10.2,58.2,-3.6,3.2,36.2,8.3,1.7,11.5,"2,004",8.5,1.9
2244,QINGDAO HANHE CABLE,China,General Industrials,21.9,-2.1,9.0,614.5,-2.8,8.4,3.6,3.5,-53.6,-18.7,0.6,52.7,8.7,-0.9,8.6,"2,046",-7.7,11.7
2245,KALOBIOS PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,21.9,-18.6,,,-100.0,-87.0,,0.4,30.2,-9.4,,-30.2,-10.2,162.3,,35,9.4,
2246,KOZA - IPEK HOLDING,Turkey,Support Services,21.9,1.6,,387.2,-7.8,,5.7,,,,0.0,123.0,-40.9,,31.8,,,
2247,RUSSIAN HELICOPTERS,Russia,Aerospace & Defence,21.8,-80.9,56.1,"2,486.6",22.8,10.0,0.9,,,,0.0,619.7,96.8,12.7,24.9,,,
2248,BIOTIME,US,Pharmaceuticals & Biotechnology,21.8,23.1,32.1,4.3,18.2,0.0,505.6,0.4,-78.8,33.4,9.2,-41.7,-9.5,44.2,-966.6,120,10.1,20.0
2249,NICHICON,Japan,Electronic & Electrical Equipment,21.8,3.0,-3.7,732.5,2.5,-0.9,3.0,12.9,7.8,-49.3,1.8,20.6,10.3,9.9,2.8,"4,809",-17.0,-5.7
2250,DARFON ELECTRONICS,Taiwan,Technology Hardware & Equipment,21.8,-6.0,-1.0,560.9,-8.2,-5.0,3.9,9.8,-40.0,-8.6,1.7,2.2,186.8,-53.4,0.4,,,-100.0
2251,WACOM,Japan,Technology Hardware & Equipment,21.7,11.1,15.8,509.0,-5.2,24.5,4.3,5.2,-60.1,53.7,1.0,41.9,-29.1,28.7,8.2,"1,072",3.6,9.7
2252,MICRONIC,Sweden,Technology Hardware & Equipment,21.7,-0.8,-10.7,157.0,47.9,-5.9,13.8,0.8,36.9,-38.4,0.5,28.0,616.9,,17.8,508,-1.2,-2.9
