EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
220,CADENCE DESIGN SYSTEMS,US,Software & Computer Services,494.8,11.5,10.0,"1,302.1",8.3,8.3,38.0,32.8,-11.4,12.7,2.5,177.0,4.1,19.6,13.6,"6,100",7.0,6.6
221,AUTOMATIC DATA PROCESSING,US,Support Services,490.4,-17.1,6.2,"9,009.5",7.0,-1.2,5.4,276.3,10.6,6.7,3.1,"1,660.0",11.0,-2.1,18.4,"55,000",-9.8,2.3
222,LINKEDIN,US,Software & Computer Services,487.5,36.1,44.8,"1,827.5",45.2,43.0,26.7,659.9,169.6,45.6,36.1,29.8,-24.4,22.8,1.6,"6,897",36.7,33.6
223,TOKYO ELECTRON,Japan,Technology Hardware & Equipment,487.1,-9.3,-1.2,"4,186.0",0.2,-1.1,11.6,81.2,25.9,-36.0,1.9,584.5,-679.9,,14.0,"10,844",-11.9,4.8
224,KOMATSU,Japan,Industrial Engineering,482.8,9.7,5.5,"13,509.2",1.3,-0.5,3.6,"1,366.0",7.6,13.8,10.1,"1,652.6",0.7,-2.1,12.2,"47,417",0.4,2.2
225,TDK,Japan,Electronic & Electrical Equipment,482.3,11.5,6.4,"7,391.0",10.0,6.5,6.5,700.0,49.4,-11.7,9.5,494.7,97.9,25.1,6.7,"88,076",5.4,1.8
226,DASSAULT AVIATION,France,Aerospace & Defence,480.5,2.2,16.4,"3,680.4",,-100.0,13.1,91.4,,-100.0,2.5,999.3,,-100.0,27.2,"11,654",0.6,0.4
227,TE CONNECTIVITY,Switzerland,Electronic & Electrical Equipment,471.1,-0.7,-2.6,"11,458.7",4.8,-2.5,4.1,554.3,9.4,1.9,4.8,"1,684.4",31.4,-4.2,14.7,"83,000",-1.2,-4.0
228,ACTIVISION BLIZZARD,US,Software & Computer Services,470.3,-2.2,-2.4,"3,630.7",-3.8,-1.2,13.0,88.1,44.6,0.9,2.4,974.4,-13.8,0.5,26.8,"6,800",-1.4,-1.9
229,NORTHROP GRUMMAN,US,Electronic & Electrical Equipment,468.7,12.2,-2.3,"19,750.4",-2.8,-2.3,2.4,462.1,54.1,-9.6,2.3,"2,632.4",2.3,-1.6,13.3,"64,300",-1.5,-3.4
230,NATIONAL AUSTRALIA BANK,Australia,Banks,465.5,-1.0,13.1,"12,700.6",5.1,2.8,3.7,,,,0.0,"5,374.1",-1.6,6.3,42.3,"42,853",1.6,-1.9
231,WHIRLPOOL,US,Household Goods & Home Construction,463.7,-3.3,0.2,"16,367.7",5.9,0.2,2.8,593.0,24.6,-1.7,3.6,"1,090.5",-8.4,15.9,6.7,"100,000",44.9,0.5
232,ANALOG DEVICES,US,Technology Hardware & Equipment,461.0,9.0,0.5,"2,359.6",8.8,-4.2,19.5,146.5,44.6,0.0,6.2,650.5,0.9,-10.0,27.6,"9,600",5.5,-0.4
233,ARRIS,US,Technology Hardware & Equipment,458.4,30.7,42.7,"4,384.3",47.0,49.3,10.5,46.6,-20.8,45.3,1.1,312.0,482.5,,7.1,"6,660",2.5,43.3
234,NIKON,Japan,Leisure Goods,455.6,-10.5,2.8,"5,856.4",-12.5,2.2,7.8,152.5,-31.6,-3.0,2.6,185.6,-55.2,-6.3,3.2,"25,415",6.5,-0.7
235,CARL ZEISS,Germany,Health Care Equipment & Services,450.9,7.3,4.4,"4,287.2",2.3,-0.4,10.5,,,,0.0,366.3,19.8,-20.6,8.5,"24,317",0.2,2.4
236,EMERSON ELECTRIC,US,Electronic & Electrical Equipment,450.5,-5.0,1.2,"20,210.0",-0.5,0.6,2.2,631.7,13.1,1.6,3.1,"2,962.7",3.0,-3.7,14.7,"115,100",-12.5,-0.4
237,CHINA COMMUNICATIONS CONSTRUCTION,China,Construction & Materials,447.4,-1.7,13.5,"47,831.3",7.1,4.1,0.9,"5,763.6",484.1,1.0,12.0,"2,977.6",6.5,8.3,6.2,"103,357",2.5,3.6
238,LIEBHERR-INTERNATIONAL,Switzerland,Industrial Engineering,446.0,2.6,-1.1,"8,823.0",-3.9,1.2,5.1,,,,0.0,519.0,-22.1,-4.2,5.9,"40,839",3.6,3.7
239,UBISOFT ENTERTAINMENT,France,Software & Computer Services,445.6,-17.4,15.0,"1,463.8",45.3,-1.7,30.4,56.2,30.8,18.0,3.8,139.4,-242.3,,9.5,"9,790",5.5,10.2
240,CERNER,US,Software & Computer Services,443.9,8.6,19.2,"2,802.7",16.9,9.7,15.8,385.4,-19.9,41.0,13.8,628.5,32.5,7.8,22.4,"15,800",11.3,12.8
241,MURATA MANUFACTURING,Japan,Electronic & Electrical Equipment,443.7,18.9,10.1,"7,124.7",23.2,13.1,6.2,690.8,48.4,-0.1,9.7,"1,464.7",70.4,40.9,20.6,"51,794",7.3,9.3
242,UNICREDIT,Italy,Banks,442.3,8.5,23.7,"22,606.1",-5.1,-1.1,2.0,,,,0.0,"3,679.4",-124.2,28.8,16.3,"129,021",-12.7,-2.7
243,XEROX,US,Technology Hardware & Equipment,435.7,-5.5,-8.1,"16,094.2",-2.3,-3.0,2.7,372.3,5.9,-5.2,2.3,"1,289.8",4.1,-5.6,8.0,"147,500",3.1,0.8
244,XILINX,US,Technology Hardware & Equipment,433.0,6.8,4.2,"1,958.1",-0.2,2.1,22.1,24.4,-34.0,-13.8,1.2,642.1,2.8,5.5,32.8,"3,451",-1.4,2.3
245,NINTENDO,Japan,Leisure Goods,432.4,-11.7,10.8,"3,753.6",-3.8,-4.1,11.5,31.3,-76.6,-0.7,0.8,169.1,-153.4,7.5,4.5,"5,120",-1.8,1.9
246,NIPPON STEEL,Japan,Industrial Metals & Mining,430.1,-2.2,-3.2,"38,301.8",1.7,10.5,1.1,"2,212.6",1.5,112.2,5.8,"2,386.2",17.1,55.5,6.2,"84,447",0.1,11.7
