EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
238,KOMATSU,Japan,Industrial Engineering,539.2,0.0,5.2,"14,158.6",-6.1,-0.5,3.8,"1,269.0",-16.8,5.2,9.0,"1,559.1",-15.5,-1.1,11.0,47017,-0.8,0.2
239,PETROBRAS,Brazil,Oil & Gas Producers,537.1,-20.4,-3.3,"75,670.6",-4.6,4.6,0.7,"16,777.1",-12.9,,22.2,"-2,915.2",-18.1,,-3.9,78470,-3.0,-2.7
240,WHIRLPOOL,US,Household Goods & Home Construction,531.8,2.8,1.5,"19,188.9",5.1,4.8,2.8,632.9,-4.3,13.1,3.3,"1,364.9",12.2,10.3,7.1,97000,-3.0,12.6
241,NINTENDO,Japan,Leisure Goods,526.5,9.0,8.9,"3,845.3",-8.2,-7.4,13.7,35.6,1.9,-6.9,0.9,250.6,32.7,,6.5,5064,-1.1,-0.1
242,NIPPON STEEL,Japan,Industrial Metals & Mining,522.1,8.8,4.5,"37,407.5",-12.5,3.8,1.4,"2,276.7",-7.8,-5.1,6.1,"1,174.0",-55.9,,3.1,84837,0.5,0.7
243,NATIONAL AUSTRALIA BANK,Australia,Banks,514.7,11.3,18.1,"13,357.1",7.4,4.5,3.9,0.0,,,0.0,"6,093.4",16.7,13.8,45.6,41826,1.0,
244,CA,US,Software & Computer Services,514.4,-7.1,-5.1,"3,697.1",-5.6,-3.7,13.9,44.1,-9.4,-38.5,1.2,"1,053.6",-2.8,-4.1,28.5,11000,-5.2,-6.8
245,NIKON,Japan,Leisure Goods,509.0,0.1,-4.4,"6,272.8",-4.1,-6.6,8.1,167.4,-1.7,-29.2,2.7,215.4,3.9,-17.6,3.4,25729,1.2,2.3
246,KOREA ELECTRIC POWER,South Korea,Electricity,508.9,15.3,7.3,"46,187.0",2.6,6.1,1.1,"11,075.5",-3.3,7.1,24.0,"8,888.9",96.1,,19.2,0,,
247,HENKEL,Germany,Household Goods & Home Construction,499.0,20.2,5.1,"18,089.0",10.1,3.1,2.8,625.0,17.7,14.0,3.5,"2,619.0",16.8,6.7,14.5,49450,-0.6,2.0
248,TE CONNECTIVITY,Switzerland,Electronic & Electrical equipment,496.0,-5.6,-3.2,"11,236.3",-12.1,-2.7,4.4,551.1,-10.8,4.0,4.9,"1,606.5",-14.5,4.2,14.3,72000,-13.3,-6.5
