EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
1980,NSFOCUS INFORMATION TECHNOLOGY,China,Software & Computer Services,31.0,36.2,27.9,122.6,25.0,18.7,25.3,8.3,21.3,56.6,6.8,17.3,28.6,13.2,14.1,1765,9.4,
1981,APOLLO TYRES,India,Automobiles & Parts,31.0,-1.2,24.3,"1,621.4",-8.0,-2.9,1.9,237.6,169.2,40.0,14.7,211.9,-0.2,10.4,13.1,12853,,-7.0
1982,IDERA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,31.0,22.6,35.1,0.2,241.1,69.6,"13,533.7",0.7,-33.5,,292.0,-44.9,26.0,34.9,"-19,616.9",62,37.8,51.0
1983,SEACHANGE INTERNATIONAL,US,Software & Computer Services,31.0,-20.1,-5.3,98.3,-7.3,-12.0,31.5,3.5,104.9,-1.1,3.6,-34.9,66.3,,-35.5,660,-6.1,-2.9
1984,DJO FINANCE,US,Health Care Equipment & Services,30.9,-10.8,6.5,"1,022.9",2.4,-0.5,3.0,0.0,,,0.0,102.7,6.5,6.4,10.0,0,,
1985,TAMRON,Japan,Leisure Goods,30.9,9.5,5.1,548.4,-2.3,3.8,5.6,18.3,6.7,-10.8,3.3,34.7,-25.0,-6.1,6.3,5829,116.4,36.4
1986,MEDIVIR,Sweden,Pharmaceuticals & Biotechnology,30.9,12.3,10.0,71.6,-62.8,5.8,43.1,1.1,12.6,-1.9,1.5,12.5,-90.3,,17.4,134,14.5,-6.5
1987,IDEX,US,Industrial Engineering,30.9,-8.7,-2.6,"1,856.0",-5.9,1.1,1.7,40.2,-8.8,6.9,2.2,390.3,-4.5,38.3,21.0,6801,1.3,0.4
1988,MERCURY SYSTEMS,US,Technology Hardware & Equipment,30.8,2.1,0.7,248.1,15.0,11.6,12.4,7.2,31.8,26.7,2.9,26.8,34.9,,10.8,965,53.4,8.5
1989,HUADONG MEDICINE,China,Pharmaceuticals & Biotechnology,30.8,26.2,20.2,"3,054.3",14.7,14.3,1.0,54.2,17.9,14.2,1.8,228.3,21.2,20.3,7.5,5405,-13.7,13.5
1990,KEMIRA,Finland,Chemicals,30.8,10.0,-3.1,"2,373.1",11.1,1.9,1.3,177.5,25.8,9.9,7.5,131.7,23.3,60.8,5.5,4685,10.3,-1.2
1991,SHIJIAZHUANG YILING PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,30.8,29.7,26.9,444.4,8.9,24.5,6.9,67.7,6.3,17.2,15.2,67.7,25.5,47.5,15.2,4690,1.2,2.6
1992,NIHON UNISYS,Japan,Software & Computer Services,30.8,-6.9,-6.0,"2,119.4",3.3,1.1,1.5,30.2,-24.7,1.2,1.4,95.5,14.7,21.5,4.5,8103,-1.7,-2.8
1993,ELECTRIC POWER DEVELOPMENT,Japan,Electricity,30.8,-15.3,-9.7,"5,946.2",3.9,5.9,0.5,"1,073.8",-5.1,-5.2,18.1,666.0,19.9,17.0,11.2,7225,-0.8,0.3
1994,XINYU IRON & STEEL,China,Industrial Metals & Mining,30.7,-13.2,-11.7,"3,157.4",-26.1,-12.5,1.0,30.5,-15.5,7.0,1.0,-1.8,-101.5,-73.2,-0.1,19464,-5.7,-9.2
1995,JINGWEI TEXTILE MACHINERY,China,Industrial Engineering,30.7,18.3,14.5,544.2,-61.3,-23.6,5.6,18.1,24.4,-29.5,3.3,384.0,-3.8,11.0,70.6,11847,,-6.1
1996,SHANDONG LUOXIN PHARMACY STOCK,China,Pharmaceuticals & Biotechnology,30.7,129.4,42.4,511.0,30.5,17.5,6.0,10.4,10.7,-19.5,2.0,75.2,5.9,2.4,14.7,0,,
1997,SEIKO HOLDINGS,Japan,Personal Goods,30.7,-2.2,-7.3,"2,261.7",1.1,1.5,1.4,99.5,39.6,-13.0,4.4,98.3,58.7,186.8,4.3,13437,-0.9,-3.0
1998,ZOGENIX,US,Pharmaceuticals & Biotechnology,30.6,76.2,36.0,25.0,-6.1,-15.0,122.7,0.3,152.5,1.7,1.1,-43.8,-215.4,0.2,-175.6,62,-69.2,-25.3
1999,CEZ,Czech Republic,Electricity,30.6,-34.1,2.9,"7,776.5",4.7,-0.8,0.4,"1,180.7",-10.9,-15.8,15.2,"1,011.2",-23.3,-21.9,13.0,25866,-1.5,-6.2
2000,CHINA AEROSPACE TIMES ELECTRONICS,China,Aerospace & Defense,30.6,35.2,34.0,788.2,15.1,14.9,3.9,38.0,-2.8,-7.4,4.8,64.5,21.7,13.5,8.2,8645,2.4,2.9
2001,BELLICUM PHARMA,US,Pharmaceuticals & Biotechnology,30.6,260.6,97.4,0.3,-84.2,-42.3,"11,801.0",5.0,574.2,38.3,"1,922.3",-45.1,235.9,98.6,"-17,423.7",72,105.7,
2002,YUHAN,South Korea,Pharmaceuticals & Biotechnology,30.6,26.2,16.4,884.2,10.9,13.3,3.5,65.2,116.6,51.2,7.4,67.2,15.4,35.4,7.6,0,,
2003,SILICON WORKS,South Korea,Electronic & Electrical equipment,30.5,36.8,22.0,419.8,37.1,4.3,7.3,9.1,139.5,20.8,2.2,43.8,56.6,8.7,10.4,0,,
2004,CALLAWAY GOLF,US,Leisure Goods,30.5,6.2,4.0,775.0,-4.9,0.4,3.9,13.2,33.6,-7.9,1.7,24.7,-12.4,,3.2,1700,0.0,4.3
2005,UNIBET,Malta,Travel & Leisure,30.5,-8.2,-7.5,482.0,13.5,21.6,6.3,8.0,145.8,9.3,1.7,86.8,-2.7,22.9,18.0,822,14.8,4.8
2006,GCL POLY ENERGY,China,Electricity,30.5,-28.8,9.6,"3,364.7",-3.7,8.3,0.9,"1,083.7",80.6,33.7,32.2,623.2,12.4,,18.5,17705,-3.4,8.2
2007,CHEMOCENTRYX,US,Pharmaceuticals & Biotechnology,30.5,-1.9,4.4,0.0,,,,0.2,-38.1,-22.7,,-43.8,0.6,6.4,,58,0.0,-1.7
2008,GLEN ELECTRIC,UK,Household Goods & Home Construction,30.5,-17.0,-4.4,0.0,,,,0.0,,,,0.0,,,,0,,
2009,BIOCRYST PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,30.5,-19.6,5.2,44.3,254.6,22.4,68.8,4.7,"4,732.1",256.5,10.6,-36.2,-13.8,7.1,-81.7,70,40.0,20.5
2010,GLOBAL EAGLE ENTERTAINMENT,US,Software & Computer Services,30.5,32.4,125.8,391.3,9.9,83.3,7.8,74.3,744.9,221.6,19.0,-7.7,-74.4,-33.7,-2.0,1000,28.0,
2011,SCIQUEST,US,Software & Computer Services,30.5,-1.7,17.8,96.8,3.4,16.6,31.5,0.0,,,0.0,2.3,-464.4,,2.4,510,-9.3,2.1
2012,QUIDEL,US,Pharmaceuticals & Biotechnology,30.4,-10.3,10.2,180.1,6.5,8.0,16.9,15.6,51.5,-15.0,8.7,2.5,-129.7,-32.4,1.4,624,2.3,6.7
2013,COHU,US,Technology Hardware & Equipment,30.4,-18.5,-0.5,247.7,-19.1,9.3,12.3,6.0,296.7,26.7,2.4,7.3,-29.6,,3.0,1600,0.0,2.2
2014,KERYX BIOPHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,30.4,-18.5,18.3,12.6,26.4,,242.0,2.6,86.5,387.3,20.3,-102.0,-0.1,60.1,-811.9,184,18.7,94.5
2015,SANMINA,US,Electronic & Electrical equipment,30.4,1.8,14.7,"5,855.2",2.6,1.5,0.5,109.4,71.3,14.8,1.9,199.1,2.1,8.7,3.4,43854,1.7,6.7
2016,BELLEROPHON THERAPEUTICS,US,Pharmaceuticals & Biotechnology,30.4,-28.1,-5.2,0.0,,,,0.4,,-49.1,,-44.3,-19.3,1.4,,22,-54.2,
2017,BERRY PLASTICS,US,General Industrials,30.3,3.1,9.7,"4,483.3",-1.6,0.8,0.7,165.3,-16.3,-7.8,3.7,386.7,21.7,5.7,8.6,16000,0.0,2.2
2018,STEELCASE,US,Household Goods & Home Construction,30.3,-14.3,-2.9,"2,810.7",0.0,2.2,1.1,85.8,-4.2,8.1,3.1,178.7,4.3,27.5,6.4,11000,2.8,1.9
2019,NOVANTA,Canada,Industrial Engineering,30.3,13.0,12.7,343.2,2.4,11.2,8.8,5.1,2.5,8.8,1.5,26.6,-272.2,22.9,7.7,0,,
2020,GENERAC,US,Industrial Engineering,30.2,4.5,11.9,"1,210.0",-9.8,3.8,2.5,28.2,-11.6,11.0,2.3,164.9,-37.8,-7.0,13.6,3156,-12.0,1.2
2021,SYNTHETIC BIOLOGICS,US,Pharmaceuticals & Biotechnology,30.2,127.1,38.9,0.0,,,,0.5,943.8,268.7,,-37.6,99.9,33.3,,27,17.4,50.0
2022,ULTRATECH,US,Technology Hardware & Equipment,30.2,-2.1,3.0,137.0,-0.9,-14.0,22.0,2.4,-8.4,-50.7,1.7,-13.1,-25.0,,-9.6,312,-8.8,-4.0
2023,BIOTIME,US,Pharmaceuticals & Biotechnology,30.2,23.9,35.0,6.5,34.2,21.6,466.8,1.1,156.9,45.8,17.6,-60.4,29.8,38.1,-935.3,136,13.3,21.4
2024,SHANGHAI FUDAN MICROELECTRONICS,China,Electronic & Electrical equipment,30.1,80.4,7.3,147.1,23.2,13.9,20.5,12.7,-24.7,39.1,8.7,27.7,9.4,5.8,18.8,958,2.8,8.5
2025,SSAB,Sweden,Industrial Metals & Mining,30.1,-4.2,5.6,"6,187.9",19.1,13.5,0.5,277.1,52.3,21.2,4.5,-44.0,48.5,,-0.7,17515,28.4,26.3
2026,SCHALTBAU,Germany,Industrial Engineering,30.1,4.9,11.5,496.7,15.6,11.0,6.1,21.9,-6.7,32.9,4.4,36.3,36.2,6.9,7.3,2973,12.1,14.7
2027,IMPRIVATA,US,Software & Computer Services,30.1,30.4,38.6,109.4,22.8,30.2,27.5,4.0,37.6,1.5,3.7,-19.9,36.7,,-18.2,452,19.6,
2028,CGI,Canada,Technology Hardware & Equipment,30.1,10.0,8.7,"6,827.3",-2.0,29.2,0.4,81.3,-32.5,23.8,1.2,950.5,15.3,68.6,13.9,0,,
2029,SAMSUNG EVERLAND,South Korea,Personal Goods,30.1,,,"10,454.1",160.2,70.3,0.3,235.5,48.8,-3.7,2.3,29.1,-82.6,-18.8,0.3,0,,
2030,NANOMETRICS,US,Technology Hardware & Equipment,30.0,-3.2,3.4,172.1,12.6,0.8,17.5,1.7,-68.1,-28.2,1.0,5.8,-167.2,5.1,3.4,518,-1.3,-1.1
2031,FLEXION THERAPEUTICS,US,Pharmaceuticals & Biotechnology,30.0,82.4,43.5,0.0,,,,4.8,547.7,430.0,,-42.3,70.7,45.3,,48,65.5,
2032,TOKAI PHARMA,US,Pharmaceuticals & Biotechnology,30.0,123.9,64.2,0.0,,,,0.5,"2,160.0",313.4,,-41.6,92.9,67.4,,27,50.0,
2033,ZHEJIANG DUN AN ARTIFICIAL ENVIRONMENT EQUIPMENT,China,Industrial Engineering,29.9,39.8,2.8,717.7,-10.0,-7.0,4.2,57.2,-59.0,-40.2,8.0,21.2,-45.1,-34.3,2.9,8642,-7.8,-3.2
2034,TIMKEN,US,Industrial Engineering,29.9,-15.3,-14.3,"2,638.3",-6.6,-5.1,1.1,97.0,-16.7,-3.7,3.7,278.0,16.3,-13.9,10.5,14000,-12.5,-11.2
2035,AXCELIS TECHNOLOGIES,US,Electronic & Electrical equipment,29.9,-2.8,-6.9,276.9,48.5,14.0,10.8,1.7,104.2,45.8,0.6,19.0,-357.9,,6.9,808,5.6,-3.1
2036,EXACT,The Netherlands,Software & Computer Services,29.9,9.5,6.3,0.0,,,,0.0,,,,0.0,,,,0,,
2037,HUBSPOT,US,Software & Computer Services,29.9,22.1,41.5,167.1,57.0,52.2,17.9,11.7,6.4,70.2,7.0,-42.7,-4.4,35.4,-25.5,1157,47.4,
2038,ZHEJIANG WANMA CABLE,China,Electronic & Electrical equipment,29.8,-1.2,43.9,961.3,16.9,21.1,3.1,8.7,-47.8,-7.2,0.9,45.9,9.3,11.8,4.8,3799,16.7,7.7
2039,XIWANG SPECIAL STEEL COMPANY,China,Industrial Metals & Mining,29.8,-22.4,31.9,955.3,-21.9,-0.7,3.1,218.5,-16.5,-0.3,22.9,39.4,-61.1,-15.7,4.1,3681,-19.3,9.9
2040,TENNANT,US,Industrial Engineering,29.8,10.1,3.5,745.7,-1.2,3.2,4.0,22.8,26.5,16.6,3.1,48.8,-26.2,-4.9,6.6,3164,2.5,4.0
2041,ELECTRO SCIENTIFIC INDUSTRIES,US,Electronic & Electrical equipment,29.8,-7.9,-4.5,169.4,15.9,-5.2,17.6,3.4,-31.3,-15.9,2.0,-8.7,-77.5,-30.2,-5.1,698,0.4,5.2
2042,RENREN,China,Software & Computer Services,29.8,-36.1,-25.9,37.8,-50.4,-38.4,78.8,0.7,-90.0,-72.7,2.0,-96.7,-33.9,4.7,-256.2,1078,-32.7,-38.4
2043,DHC SOFTWARE,China,Software & Computer Services,29.7,16.2,10.5,785.3,10.0,18.0,3.8,21.0,-36.5,18.2,2.7,143.5,-9.0,19.7,18.3,7031,19.9,22.6
2044,HOSHIZAKI,Japan,Construction & Materials,29.7,0.8,3.2,"1,983.2",11.5,13.3,1.5,38.2,11.4,10.7,1.9,233.7,14.1,23.0,11.8,12634,7.0,7.2
2045,HALYARD HEALTH,US,Health Care Equipment & Services,29.7,-3.9,-0.7,"1,446.1",-5.8,-2.2,2.1,64.7,-10.3,19.9,4.5,-346.9,-500.5,,-24.0,12000,0.0,
2046,MARIN SOFTWARE,US,Software & Computer Services,29.6,13.7,32.0,99.7,9.2,22.1,29.7,13.0,67.2,25.0,13.0,-28.7,-8.1,7.3,-28.8,511,-10.5,6.4
2047,TESSERA TECHNOLOGIES,US,Technology Hardware & Equipment,29.6,-14.1,-31.6,251.0,-2.0,9.2,11.8,7.9,16.0,-39.2,3.1,162.0,-2.3,28.3,64.5,264,30.0,-37.6
2048,NEXEYA,France,Aerospace & Defense,29.5,151.2,45.2,0.0,,,,0.0,,,,0.0,,,,0,,
2049,TONGLING JINGDA SPECIAL MAGNET WIRE,China,Technology Hardware & Equipment,29.4,-20.4,1.0,"1,085.4",-16.6,-2.1,2.7,17.1,-2.1,-9.5,1.6,40.4,-15.5,0.5,3.7,2857,0.1,7.1
2050,JOYOUNG,China,Household Goods & Home Construction,29.4,19.2,16.6,986.1,18.4,12.5,3.0,10.1,-49.8,-29.1,1.0,99.3,4.7,4.6,10.1,3421,-7.9,-1.3
2051,DIGI,US,Technology Hardware & Equipment,29.4,7.6,1.4,195.5,10.5,3.8,15.1,4.1,31.5,4.4,2.1,6.4,"3,262.1",-17.5,3.3,565,-12.9,-4.2
2052,MICRONIC,Sweden,Technology Hardware & Equipment,29.4,32.7,-1.2,197.5,23.0,10.3,14.9,1.9,128.9,27.2,1.0,58.5,104.7,,29.6,501,-1.4,-3.6
2053,HORMEL FOODS,US,Food Producers,29.4,7.0,2.4,"8,509.1",-0.6,4.0,0.3,132.3,-9.5,2.9,1.6,958.4,14.2,12.9,11.3,20700,1.5,1.7
2054,PAION,Germany,Pharmaceuticals & Biotechnology,29.4,149.0,108.3,0.1,-97.9,-86.1,"40,812.2",0.0,26.9,-1.0,45.8,-34.1,192.9,,"-47,344.4",35,66.7,35.7
2055,MEGMILK SNOW BRAND,Japan,Food Producers,29.3,1.7,-0.7,"4,408.4",5.2,3.4,0.7,118.9,-43.3,-15.3,2.7,98.4,64.2,-3.6,2.2,4823,-1.1,-0.7
2056,KENDA RUBBER INDUSTRIAL,Taiwan,Automobiles & Parts,29.3,49.8,37.5,870.6,-6.2,-1.5,3.4,35.9,63.4,1.1,4.1,107.8,-12.6,1.2,12.4,0,,
2057,WASION GROUP HOLDINGS,China,Electronic & Electrical equipment,29.3,41.4,22.4,420.1,5.6,6.6,7.0,32.1,85.4,8.1,7.6,67.6,-9.9,10.2,16.1,4189,0.9,6.7
2058,HONGFA TECHNOLOGY,China,Electronic & Electrical equipment,29.3,16.6,34.7,591.3,6.7,12.8,5.0,91.5,59.8,90.8,15.5,109.5,10.7,17.2,18.5,11765,-13.7,3.9
2059,GENIUS ELECTRONIC OPTICAL,Taiwan,Electronic & Electrical equipment,29.3,27.7,18.8,252.1,-12.7,-7.4,11.6,26.0,-19.9,-25.1,10.3,-28.2,32.0,,-11.2,0,,
2060,HANGZHOU SILAN MICROELECTRONICS,China,Technology Hardware & Equipment,29.2,10.2,14.1,267.9,2.4,12.4,10.9,75.6,88.4,10.9,28.2,8.6,-54.0,649.7,3.2,3936,1.5,8.5
2061,VARONIS SYSTEMS,US,Software & Computer Services,29.2,13.2,28.4,116.8,25.5,33.5,25.0,4.2,94.4,70.2,3.6,-17.5,10.2,130.7,-15.0,947,12.7,
2062,ENBW ENERGIE BADEN-WURTTEMBERG,Germany,Electricity,29.2,15.9,-6.6,"21,166.5",0.8,3.1,0.1,"1,416.4",-16.9,20.1,6.7,353.6,"-1,692.8",-35.4,1.7,20150,0.9,0.3
2063,NISSHIN STEEL,Japan,Industrial Metals & Mining,29.2,-1.2,1.7,"4,169.8",-11.4,1.8,0.7,189.1,-3.3,3.1,4.5,22.8,-85.5,,0.5,6805,-1.1,1.0
2064,ALTEK,Taiwan,Leisure Goods,29.2,8.5,-4.4,348.1,-19.0,-20.2,8.4,1.5,-61.9,-51.9,0.4,7.4,-35.4,5.5,2.1,0,,
2065,ALBANY,US,Forestry & Paper,29.2,-1.9,6.4,652.0,-4.8,-2.3,4.5,46.5,-14.1,10.8,7.1,77.6,10.4,,11.9,3900,-2.5,-0.8
2066,XIANGTAN ELECTRIC MANUFACTURING,China,Electronic & Electrical equipment,29.1,22.3,19.0,"1,332.3",23.1,20.7,2.2,4.9,52.2,-39.0,0.4,63.6,6.5,19.3,4.8,7758,3.5,0.4
2067,CYTOKINETICS,US,Pharmaceuticals & Biotechnology,29.1,332.4,4.1,26.3,-38.9,55.9,110.5,0.5,-49.1,65.0,2.0,-34.4,153.5,-2.6,-130.5,100,8.7,12.6
2068,SITRONIX TECHNOLOGY,Taiwan,Technology Hardware & Equipment,29.0,12.4,9.3,258.2,22.0,21.4,11.2,4.4,-2.7,4.4,1.7,27.6,21.6,38.9,10.7,0,,
2069,OBRASCON HUARTE LAIN,Spain,Construction & Materials,29.0,2.1,6.3,"4,368.9",17.1,2.7,0.7,278.5,-1.8,,6.4,801.2,-10.5,-3.2,18.3,26661,8.3,12.2
2070,TT ELECTRONICS,UK,Electronic & Electrical equipment,29.0,-15.8,64.3,694.1,-2.7,2.3,4.2,20.6,-39.4,-6.9,3.0,22.3,-510.0,-13.7,3.2,5679,-6.8,1.3
2071,TOMRA SYSTEMS,Norway,Industrial Engineering,29.0,15.7,6.3,645.7,25.0,15.0,4.5,41.9,28.1,218.8,6.5,91.9,39.5,10.0,14.2,2475,4.0,4.1
2072,HEALTHSTREAM,US,Support Services,28.9,42.3,34.1,192.0,22.4,26.3,15.1,14.1,50.5,20.6,7.3,12.5,-17.2,-0.2,6.5,972,23.5,18.3
2073,CGN POWER CO.,China,Electricity,28.8,3.6,24.4,"3,236.7",12.1,9.7,0.9,"1,628.9",-41.0,,50.3,"1,506.3",6.8,5.8,46.5,11787,21.3,
2074,EXAR,US,Technology Hardware & Equipment,28.8,-15.5,12.0,137.2,-7.8,7.0,21.0,1.2,-67.4,-2.6,0.9,-12.4,-43.7,,-9.1,269,-17.7,-2.6
2075,SORRENTO THERAPEUTICS,US,Pharmaceuticals & Biotechnology,28.8,30.7,101.5,4.2,20.0,98.8,682.9,3.4,527.2,89.1,80.8,-68.0,113.0,148.0,"-1,612.3",97,47.0,75.3
2076,MIBA,Austria,Automobiles & Parts,28.8,26.6,4.7,0.0,,,,0.0,,,,0.0,,,,0,,
2077,WE MADE ENTERTAINMENT,South Korea,Software & Computer Services,28.8,-27.8,1.5,99.2,-22.2,1.8,29.0,1.9,-27.9,-65.6,1.9,-9.1,-62.9,80.8,-9.2,0,,
2078,PARADE TECHNOLOGIES,Taiwan,Technology Hardware & Equipment,28.7,40.8,24.4,200.4,15.5,14.6,14.3,2.1,13.6,10.4,1.1,33.8,-10.2,-7.4,16.9,0,,
2079,DESCARTES SYSTEMS,Canada,Software & Computer Services,28.7,11.5,13.7,169.9,8.3,13.4,16.9,4.0,60.8,7.2,2.3,25.8,24.5,17.6,15.2,0,,
2080,WONIK,South Korea,Technology Hardware & Equipment,28.7,15.9,26.6,507.2,16.2,22.9,5.7,49.7,94.8,3.3,9.8,77.8,8.0,55.4,15.3,0,,
2081,INTELLIGENT ENERGY,UK,Electronic & Electrical equipment,28.7,-1.1,16.6,106.4,474.2,,27.0,6.5,18.6,,6.1,-73.2,-3.3,,-68.8,436,23.2,
2082,KONECRANES,Finland,Industrial Engineering,28.7,1.1,4.6,"2,126.2",5.7,-0.7,1.3,43.3,3.1,-10.0,2.0,63.1,-45.1,-21.8,3.0,11887,-0.8,-0.7
2083,REVLON,US,Personal Goods,28.7,-1.3,8.8,"1,758.3",-1.4,11.1,1.6,44.4,-13.0,32.2,2.5,215.2,-11.0,2.1,12.2,5700,1.8,3.8
2084,ALK ABELLO,Denmark,Pharmaceuticals & Biotechnology,28.6,-30.8,-6.7,345.5,5.6,3.1,8.3,20.6,-7.8,-5.8,6.0,39.4,-6.4,17.2,11.4,1896,2.8,0.7
2085,AEOLUS TYRE,China,Automobiles & Parts,28.6,-41.2,-15.2,871.1,-22.2,-11.0,3.3,10.0,-25.3,-28.7,1.1,43.7,-46.5,-19.3,5.0,7365,-3.3,5.8
2086,HOGANAS HOLDING,Sweden,Support Services,28.6,-10.2,,825.9,7.1,,3.5,0.0,,,0.0,94.2,25.3,,11.4,1878,4.5,
2087,XINJIANG TIANSHAN CEMENT,China,Construction & Materials,28.6,-41.9,-12.5,705.6,-22.5,-12.8,4.1,22.2,-22.8,-62.3,3.1,-44.9,-176.6,,-6.4,10508,-7.2,17.1
2088,CHANGYUAN,China,Electronic & Electrical equipment,28.6,30.4,36.4,575.9,23.9,19.6,5.0,32.1,-2.1,-4.5,5.6,78.0,41.3,26.3,13.6,6393,14.7,8.7
2089,ZHEJIANG NHU,China,Chemicals,28.6,-9.8,8.0,531.2,-8.2,1.5,5.4,162.2,56.7,18.7,30.5,58.5,-61.6,-29.6,11.0,5918,5.4,6.0
2090,MARCHEX,US,Software & Computer Services,28.5,5.1,9.9,131.4,-17.6,2.5,21.7,3.8,19.4,11.5,2.9,-0.3,-0.7,-74.1,-0.2,375,2.2,4.2
2091,KRATON PERFORMANCE POLYMERS,US,Chemicals,28.5,-1.1,0.0,950.3,-15.9,-10.1,3.0,118.3,12.6,22.7,12.4,37.5,1.8,5.1,3.9,917,-1.8,-0.9
2092,TAIYA QUANZHOU SHOES,China,Personal Goods,28.5,111.5,147.5,320.1,220.4,88.7,8.9,9.8,55.7,-26.0,3.1,82.5,927.1,168.0,25.8,985,-55.3,-21.8
2093,ARMSTRONG WORLD INDUSTRIES,US,Construction & Materials,28.5,1.3,0.8,"2,222.8",-3.8,-0.1,1.3,156.8,-23.4,-5.0,7.1,142.9,-10.6,-12.1,6.4,7600,2.7,-3.7
2094,HUABAO INTERNATIONAL,China,Personal Goods,28.4,-6.5,3.9,465.5,-9.2,2.5,6.1,16.3,-11.0,-25.7,3.5,214.9,-22.0,-3.5,46.2,2465,7.2,-0.6
2095,ACBEL POLYTECH,Taiwan,Electronic & Electrical equipment,28.4,0.2,4.1,580.7,-13.5,-5.1,4.9,9.5,-45.1,-2.8,1.6,26.8,-21.1,-13.3,4.6,0,,
2096,TOAGOSEI,Japan,Chemicals,28.4,-3.8,-5.2,"1,066.0",-6.1,-1.9,2.7,35.5,-47.4,-28.7,3.3,80.2,-12.4,-8.6,7.5,0,,
2097,QUOTIENT BIORESEARCH,UK,Pharmaceuticals & Biotechnology,28.3,106.7,,0.0,,,,0.0,,,,0.0,,,,0,,
2098,KUMHO PETRO CHEMICAL,South Korea,Chemicals,28.3,15.1,-1.3,"3,082.3",-17.4,-12.6,0.9,306.7,53.3,1.6,10.0,128.4,-11.3,-9.9,4.2,0,,
2099,LITTELFUSE,US,General Industrials,28.3,-1.0,13.2,797.2,1.9,9.1,3.5,40.4,36.4,25.0,5.1,95.7,-23.0,1.5,12.0,8800,11.4,
2100,NICHICON,Japan,Electronic & Electrical equipment,28.3,16.0,2.3,837.1,2.3,6.5,3.4,16.3,13.6,-39.8,2.0,32.8,42.6,,3.9,4818,0.2,-7.2
2101,SFS GROUP,Switzerland,Electronic & Electrical equipment,28.2,-11.1,9.1,"1,270.1",-1.2,5.0,2.2,82.1,-7.4,10.6,6.5,117.1,-9.3,6.6,9.2,7991,-8.1,3.9
2102,CPFL ENERGIA,Brazil,"Gas, Water & Multi-utilities",28.2,-9.1,-17.4,0.0,,,,0.0,,,,0.0,,,,0,,
2103,KT&G,South Korea,Tobacco,28.2,0.8,-2.0,"3,266.6",1.4,1.5,0.9,169.5,-34.9,-7.1,5.2,"1,070.0",16.6,9.7,32.8,0,,
2104,GUANGDONG ALPHA ANIMATION & CULTURE,China,Toys,28.2,7.1,39.2,360.0,6.0,26.0,7.8,7.8,-3.9,-9.2,2.2,63.2,-2.0,29.5,17.6,4392,4.0,15.8
2105,BRIGHTCOVE,US,Software & Computer Services,28.2,7.3,17.4,123.7,7.8,15.3,22.8,2.6,-37.5,-23.4,2.1,-6.2,-44.5,-20.9,-5.0,413,0.7,7.2
2106,YUEYANG FOREST & PAPER,China,Forestry & Paper,28.2,-4.7,-0.8,811.4,-8.9,-3.2,3.5,4.3,-38.5,-55.1,0.5,-14.5,-148.0,,-1.8,5193,-5.3,-2.3
2107,SANWA,Japan,Construction & Materials,28.1,5.2,14.7,"2,786.9",7.8,11.2,1.0,61.9,5.2,23.7,2.2,190.5,7.1,20.8,6.8,8790,2.9,1.6
2108,ACTIA,France,Electronic & Electrical equipment,28.1,27.3,13.8,381.2,12.2,9.7,7.4,17.4,26.4,5.5,4.6,18.1,-17.5,19.8,4.7,3067,11.0,3.5
2109,SHENZHEN CLOU ELECTRONICS,China,Electronic & Electrical equipment,28.0,37.0,30.7,311.6,14.6,17.1,9.0,216.6,91.7,91.6,69.5,32.1,12.8,23.0,10.3,3338,10.1,15.1
2110,HI LEX,Japan,Automobiles & Parts,28.0,73.0,52.9,"1,822.8",18.7,19.6,1.5,67.2,10.3,24.3,3.7,131.7,-5.5,16.5,7.2,11427,6.4,5.9
2111,INMARSAT,UK,Mobile Telecommunications,28.0,-27.7,17.7,"1,170.3",-0.9,-1.6,2.4,398.2,25.3,-0.3,34.0,386.3,1.8,6.0,33.0,1687,6.0,1.4
2112,OMV,Austria,Oil & Gas Producers,28.0,12.0,10.0,"22,527.0",-37.3,-19.2,0.1,"2,978.0",-22.3,6.2,13.2,"-1,990.0",-287.4,,-8.8,24124,-5.4,-5.6
2113,HARBIN PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,28.0,-20.7,-3.6,"2,219.1",-3.8,-3.4,1.3,41.1,-22.5,1.8,1.9,124.2,108.5,-1.6,5.6,17866,-3.8,-3.5
2114,FUKUDA DENSHI,Japan,Health Care Equipment & Services,28.0,-11.5,3.3,0.0,,,,0.0,,,,0.0,,,,0,,
